count_index,ts_swap,swap_to_recv_ns,werner,success_bit
215,1789567626334454690,96948,0.000000,0
216,1789567626334861575,97497,0.000000,0
217,1789567626335268270,98856,0.000000,0
218,1789567626335675784,97315,0.000000,0
219,1789567626336082909,98004,0.000000,0
220,1789567626336490113,97954,0.000000,0
221,1789567626336897018,95804,0.000000,0
222,1789567626337304493,97013,0.931000,1
223,1789567626337711887,96283,0.931000,1
224,1789567626338118762,97201,0.000000,0
225,1789567626338526056,97781,0.000000,0
226,1789567626338933101,99000,0.000000,0
227,1789567626339340026,95999,0.000000,0
228,1789567626339747110,98360,0.000000,0
229,1789567626340153845,98079,0.000000,0
230,1789567626340561069,97348,0.000000,0
231,1789567626340968374,98817,0.000000,0
232,1789567626341376369,99876,0.000000,0
233,1789567626341783233,97616,0.000000,0
234,1789567626342190358,98705,0.931000,1
235,1789567626342597313,114343,0.000000,0
236,1789567626343004377,99984,0.000000,0
237,1789567626343411342,96753,0.000000,0
238,1789567626343818366,97873,0.000000,0
239,1789567626344225141,96862,0.000000,0
240,1789567626344632206,99211,0.000000,0
241,1789567626345039320,99111,0.000000,0
242,1789567626345446935,96669,0.000000,0
243,1789567626345853849,96780,0.000000,0
244,1789567626346260814,98099,0.000000,0
245,1789567626346668169,98018,0.000000,0
246,1789567626347075383,99398,0.000000,0
247,1789567626347482538,96687,0.000000,0
248,1789567626347889643,97345,0.000000,0
249,1789567626348296467,97645,0.000000,0
250,1789567626348703502,97485,0.000000,0
251,1789567626349110456,98275,0.000000,0
252,1789567626349518151,96594,0.000000,0
253,1789567626349925275,99784,0.000000,0
254,1789567626350336620,95632,0.000000,0
255,1789567626350743605,96461,0.000000,0
256,1789567626351150629,98801,0.000000,0
257,1789567626351557594,96390,0.000000,0
258,1789567626351964818,98781,0.000000,0
259,1789567626352373323,97480,0.000000,0
260,1789567626352780597,100209,0.000000,0
261,1789567626353187572,98258,0.000000,0
262,1789567626353595087,96567,0.000000,0
263,1789567626354002231,97107,0.000000,0
264,1789567626354409776,96666,0.931000,1
265,1789567626354816580,96587,0.000000,0
266,1789567626355223665,98255,0.000000,0
267,1789567626355630620,97514,0.000000,0
268,1789567626356037504,109654,0.931000,1
269,1789567626356444559,97153,0.000000,0
270,1789567626356851693,96503,0.000000,0
271,1789567626357258858,97752,0.931000,1
272,1789567626357666023,97101,0.000000,0
273,1789567626358072827,98031,0.931000,1
274,1789567626358480892,97480,0.000000,0
275,1789567626358887807,96569,0.931000,1
276,1789567626359294981,97659,0.000000,0
277,1789567626359701846,97978,0.000000,0
278,1789567626360109010,97537,0.000000,0
279,1789567626360516045,98256,0.000000,0
280,1789567626360923400,101616,0.931000,1
281,1789567626361334814,96286,0.000000,0
282,1789567626361742089,97605,0.000000,0
283,1789567626362148743,96845,0.000000,0
284,1789567626362556078,97353,0.000000,0
285,1789567626362963073,97832,0.000000,0
286,1789567626363370247,95912,0.000000,0
287,1789567626363777392,97662,0.000000,0
288,1789567626364184476,99702,0.000000,0
289,1789567626364591621,96711,0.000000,0
290,1789567626364998636,97959,0.000000,0
291,1789567626365406570,94999,0.000000,0
292,1789567626365813485,96708,0.000000,0
293,1789567626366220419,97098,0.000000,0
294,1789567626366627724,97468,0.000000,0
295,1789567626367034829,96757,0.000000,0
296,1789567626367441993,96856,0.000000,0
297,1789567626367849068,97125,0.000000,0
298,1789567626368255903,97094,0.931000,1
299,1789567626368662877,100944,0.000000,0
300,1789567626369069982,100563,0.000000,0
301,1789567626369477706,104963,0.000000,0
302,1789567626369884561,97872,0.000000,0
303,1789567626370291636,96841,0.000000,0
304,1789567626370698730,96111,0.000000,0
305,1789567626371105655,101880,0.000000,0
306,1789567626371512819,97170,0.000000,0
307,1789567626371919814,99319,0.000000,0
308,1789567626372326989,99527,0.000000,0
309,1789567626372736503,97718,0.000000,0
310,1789567626373143928,105517,0.000000,0
311,1789567626373551632,100427,0.000000,0
312,1789567626373958667,101606,0.000000,0
313,1789567626374366592,99915,0.000000,0
314,1789567626374773906,95894,0.000000,0
315,1789567626375181051,104113,0.000000,0
316,1789567626375588365,99833,0.000000,0
317,1789567626375995570,96343,0.000000,0
318,1789567626376402544,96823,0.000000,0
319,1789567626376809259,96152,0.000000,0
320,1789567626377216523,97511,0.000000,0
321,1789567626377623608,97290,0.931000,1
322,1789567626378030803,97529,0.000000,0
323,1789567626378437787,97589,0.000000,0
324,1789567626378844872,97199,0.000000,0
325,1789567626379251837,98538,0.000000,0
326,1789567626379659091,96488,0.000000,0
327,1789567626380066146,97416,0.000000,0
328,1789567626380473340,96966,0.000000,0
329,1789567626380880425,97635,0.000000,0
330,1789567626381287770,96684,0.000000,0
331,1789567626381694924,97085,0.000000,0
332,1789567626382101979,96244,0.000000,0
333,1789567626382508973,96143,0.000000,0
334,1789567626382916218,111562,0.000000,0
335,1789567626383322923,96331,0.000000,0
336,1789567626383730067,98391,0.000000,0
337,1789567626384137082,98110,0.000000,0
338,1789567626384544887,96689,0.000000,0
339,1789567626384951641,97909,0.000000,0
340,1789567626385359066,96508,0.931000,1
341,1789567626385765910,96698,0.000000,0
342,1789567626386172945,95957,0.000000,0
343,1789567626386579990,96586,0.000000,0
344,1789567626386987034,99056,0.931000,1
345,1789567626387393959,96674,0.000000,0
346,1789567626387800953,97445,0.000000,0
347,1789567626388207878,98624,0.000000,0
348,1789567626388615133,97913,0.000000,0
349,1789567626389021817,97983,0.000000,0
350,1789567626389429382,95942,0.000000,0
351,1789567626389836217,96540,0.931000,1
352,1789567626390243251,98050,0.000000,0
353,1789567626390650456,97200,0.000000,0
354,1789567626391057420,98200,0.000000,0
355,1789567626391464665,95979,0.000000,0
356,1789567626391872050,97998,0.000000,0
357,1789567626392279034,96997,0.000000,0
358,1789567626392686059,96396,0.931000,1
359,1789567626393092993,98396,0.000000,0
360,1789567626393501998,95905,0.000000,0
361,1789567626393908932,97216,0.000000,0
