seq,ts_emit,ts_recv,latency_us,w,bit
159,1789388429000948695,1789388429001091719,143.024,0.475,1
160,1789388429001563541,1789388429001781828,218.287,0.475,1
161,1789388429002186855,1789388429002461063,274.208,0.475,1
162,1789388429002785323,1789388429002921919,136.596,0.475,1
163,1789388429003379007,1789388429003563212,184.205,0.475,1
164,1789388429003968077,1789388429004243337,275.26,0.475,1
165,1789388429004570769,1789388429004922733,351.964,0.475,1
166,1789388429005187873,1789388429005515844,327.971,0.475,1
167,1789388429005795265,1789388429006064182,268.917,0.475,1
168,1789388429006425228,1789388429006697488,272.26,0.475,1
169,1789388429007045034,1789388429007272759,227.725,0.475,1
170,1789388429007663635,1789388429007967635,304.0,0.475,1
171,1789388429008268497,1789388429008501275,232.778,0.475,1
172,1789388429008890318,1789388429009052328,162.01,0.475,1
173,1789388429009580396,1789388429009737631,157.235,0.475,1
174,1789388429010214148,1789388429010448741,234.593,0.475,1
175,1789388429010837977,1789388429011131349,293.372,0.475,1
176,1789388429011470571,1789388429011673012,202.441,0.0,0
177,1789388429012077489,1789388429012219412,141.923,0.475,1
178,1789388429012720989,1789388429012834149,113.16,0.475,1
179,1789388429013348765,1789388429013497339,148.574,0.475,1
180,1789388429013979415,1789388429014217150,237.735,0.475,1
181,1789388429014576932,1789388429014728433,151.501,0.475,1
182,1789388429015189270,1789388429015394382,205.112,0.475,1
183,1789388429015798829,1789388429016074259,275.43,0.475,1
184,1789388429016428903,1789388429016694350,265.447,0.475,1
185,1789388429017080805,1789388429017276139,195.334,0.0,0
186,1789388429017755927,1789388429017889430,133.503,0.475,1
187,1789388429018445837,1789388429018622882,177.045,0.475,1
188,1789388429019064899,1789388429019295927,231.028,0.475,1
189,1789388429019693049,1789388429019914403,221.354,0.475,1
190,1789388429020308734,1789388429020466613,157.879,0.475,1
191,1789388429020930228,1789388429021131742,201.514,0.0,0
192,1789388429021522386,1789388429021624665,102.279,0.475,1
193,1789388429022163018,1789388429022293216,130.198,0.475,1
194,1789388429022779498,1789388429022908213,128.715,0.475,1
195,1789388429023385097,1789388429023654444,269.347,0.475,1
196,1789388429024006223,1789388429024165511,159.288,0.475,1
197,1789388429024641267,1789388429024848003,206.736,0.475,1
198,1789388429025266911,1789388429025416040,149.129,0.475,1
199,1789388429025868945,1789388429026007661,138.716,0.475,1
200,1789388429026478581,1789388429026621268,142.687,0.475,1
201,1789388429027061161,1789388429027172709,111.548,0.475,1
202,1789388429027682989,1789388429027837952,154.963,0.475,1
203,1789388429028302277,1789388429028396060,93.783,0.475,1
204,1789388429028922409,1789388429029142146,219.737,0.475,1
205,1789388429029502036,1789388429029640980,138.944,0.475,1
206,1789388429030126057,1789388429030227529,101.472,0.475,1
207,1789388429030726353,1789388429030836880,110.527,0.475,1
208,1789388429031345197,1789388429031427351,82.154,0.475,1
209,1789388429031932789,1789388429032091489,158.7,0.475,1
210,1789388429032535886,1789388429032658556,122.67,0.475,1
211,1789388429033167786,1789388429033321549,153.763,0.0,0
212,1789388429033791319,1789388429033946136,154.817,0.0,0
