seq,ts_emit,w,bit
267,1789388429068071414,0.475,1
268,1789388429068704159,0.475,1
269,1789388429069365569,0.0,0
270,1789388429069950125,0.475,1
271,1789388429070540137,0.475,1
272,1789388429071148670,0.475,1
273,1789388429071815458,0.475,1
274,1789388429072415882,0.475,1
275,1789388429073070534,0.475,1
276,1789388429073714117,0.475,1
277,1789388429074339169,0.475,1
278,1789388429074920410,0.475,1
279,1789388429075581954,0.475,1
280,1789388429076226252,0.475,1
281,1789388429076892545,0.0,0
282,1789388429077544986,0.475,1
283,1789388429078129772,0.475,1
284,1789388429078715982,0.475,1
285,1789388429079336514,0.475,1
286,1789388429079925195,0.0,0
287,1789388429080514914,0.475,1
288,1789388429081176804,0.475,1
289,1789388429081804332,0.475,1
290,1789388429082420640,0.475,1
291,1789388429083006273,0.475,1
292,1789388429083614942,0.0,0
293,1789388429084187496,0.0,0
294,1789388429084765131,0.475,1
295,1789388429085382553,0.0,0
296,1789388429085998719,0.475,1
297,1789388429086589499,0.475,1
298,1789388429087220232,0.0,0
299,1789388429087806491,0.475,1
300,1789388429088396220,0.475,1
301,1789388429089044149,0.475,1
302,1789388429089787581,0.475,1
303,1789388429090394485,0.475,1
304,1789388429091024008,0.0,0
305,1789388429091640285,0.475,1
306,1789388429092264174,0.0,0
307,1789388429092933628,0.475,1
308,1789388429093518934,0.475,1
309,1789388429094116362,0.475,1
310,1789388429094707540,0.475,1
311,1789388429095292193,0.0,0
312,1789388429095874289,0.475,1
313,1789388429096459612,0.475,1
314,1789388429097062591,0.475,1
315,1789388429097648230,0.475,1
316,1789388429098244641,0.475,1
317,1789388429098827081,0.0,0
318,1789388429099415474,0.475,1
319,1789388429100115490,0.475,1
320,1789388429100696443,0.475,1
321,1789388429101281594,0.475,1
322,1789388429101867298,0.0,0
323,1789388429102517727,0.0,0
324,1789388429103131268,0.475,1
325,1789388429103730015,0.475,1
326,1789388429104349913,0.475,1
327,1789388429104948472,0.475,1
328,1789388429105546535,0.0,0
329,1789388429106136755,0.475,1
330,1789388429106823489,0.475,1
331,1789388429107452053,0.475,1
332,1789388429108068493,0.475,1
333,1789388429108723736,0.475,1
334,1789388429109345379,0.475,1
335,1789388429109962792,0.475,1
336,1789388429110581335,0.475,1
337,1789388429111199759,0.475,1
338,1789388429111820082,0.475,1
339,1789388429112415097,0.475,1
340,1789388429113013913,0.475,1
341,1789388429113625725,0.475,1
342,1789388429114264304,0.0,0
343,1789388429114885443,0.475,1
344,1789388429115516874,0.475,1
345,1789388429116121986,0.475,1
346,1789388429116746403,0.0,0
347,1789388429117365542,0.475,1
348,1789388429117976576,0.475,1
349,1789388429118626776,0.475,1
350,1789388429119219668,0.0,0
351,1789388429119816815,0.475,1
352,1789388429120441042,0.475,1
353,1789388429121030559,0.475,1
354,1789388429121650115,0.475,1
355,1789388429122238673,0.475,1
356,1789388429122834542,0.475,1
357,1789388429123425711,0.475,1
358,1789388429124014827,0.475,1
359,1789388429124614103,0.475,1
360,1789388429125196176,0.475,1
361,1789388429125818455,0.475,1
362,1789388429126404232,0.475,1
363,1789388429127034839,0.475,1
364,1789388429127695227,0.475,1
365,1789388429128287445,0.475,1
366,1789388429128881404,0.475,1
367,1789388429129477089,0.475,1
368,1789388429130070824,0.475,1
369,1789388429130653956,0.475,1
370,1789388429131300768,0.475,1
371,1789388429131932900,0.475,1
372,1789388429132514892,0.475,1
373,1789388429133182976,0.475,1
374,1789388429133777997,0.475,1
375,1789388429134364171,0.475,1
376,1789388429134963857,0.475,1
377,1789388429135569325,0.0,0
378,1789388429136182315,0.0,0
379,1789388429136791092,0.475,1
380,1789388429137388776,0.475,1
