count_index,ts_swap,swap_to_recv_ns,werner,success_bit
569,1789567812179153641,262269,0.000000,0
570,1789567812179560646,262750,0.000000,0
571,1789567812179968710,270101,0.931000,1
572,1789567812180375845,260851,0.931000,1
573,1789567812180783229,260723,0.931000,1
574,1789567812181190214,262813,0.000000,0
575,1789567812181597869,261254,0.000000,0
576,1789567812182005513,263415,0.931000,1
577,1789567812182412888,261805,0.931000,1
578,1789567812182820252,262627,0.000000,0
579,1789567812183227537,260437,0.931000,1
580,1789567812183634862,262897,0.931000,1
581,1789567812184042126,261739,0.000000,0
582,1789567812184449441,261229,0.000000,0
583,1789567812184856725,260790,0.000000,0
584,1789567812185264390,260531,0.931000,1
585,1789567812185672005,260981,0.931000,1
586,1789567812186079299,260622,0.931000,1
587,1789567812186486414,260353,0.931000,1
588,1789567812186893669,263233,0.000000,0
589,1789567812187300853,262884,0.931000,1
590,1789567812187707948,263385,0.931000,1
591,1789567812188115222,262216,0.931000,1
592,1789567812188522197,263507,0.000000,0
593,1789567812188929952,262757,0.000000,0
594,1789567812189337366,261508,0.000000,0
595,1789567812189744871,260609,0.931000,1
596,1789567812190152505,260780,0.000000,0
597,1789567812190559620,262550,0.931000,1
598,1789567812190971165,262841,0.931000,1
599,1789567812191378369,262242,0.931000,1
600,1789567812191785864,262143,0.000000,0
601,1789567812192193438,264564,0.931000,1
602,1789567812192601273,262124,0.000000,0
603,1789567812193008618,261055,0.931000,1
604,1789567812193416312,269476,0.931000,1
605,1789567812193823597,263316,0.931000,1
606,1789567812194230671,260098,0.000000,0
607,1789567812194637886,261758,0.931000,1
608,1789567812195046901,262558,0.000000,0
609,1789567812195454625,262400,0.931000,1
610,1789567812195861830,262820,0.000000,0
611,1789567812196268984,261542,0.931000,1
612,1789567812196676089,262342,0.931000,1
613,1789567812197083364,261812,0.931000,1
614,1789567812197490988,260774,0.931000,1
615,1789567812197898383,260684,0.000000,0
616,1789567812198305757,261775,0.000000,0
617,1789567812198713162,263636,0.931000,1
618,1789567812199120517,261196,0.931000,1
619,1789567812199527631,262518,0.931000,1
620,1789567812199934756,261338,0.931000,1
621,1789567812200342041,263298,0.931000,1
622,1789567812200749455,260770,0.000000,0
623,1789567812201156770,263770,0.931000,1
624,1789567812201564434,263311,0.000000,0
625,1789567812201972359,261542,0.000000,0
626,1789567812202379474,262332,0.931000,1
627,1789567812202786768,262753,0.931000,1
628,1789567812203194063,261564,0.931000,1
629,1789567812203601187,262775,0.931000,1
630,1789567812204008512,263045,0.000000,0
631,1789567812204415627,259266,0.000000,0
632,1789567812204822921,261387,0.000000,0
633,1789567812205230456,262758,0.000000,0
634,1789567812205637810,263289,0.931000,1
635,1789567812206045115,262699,0.000000,0
636,1789567812206452250,263320,0.000000,0
637,1789567812206859504,269861,0.931000,1
638,1789567812207266729,261462,0.931000,1
639,1789567812207673864,260132,0.931000,1
640,1789567812208081108,262453,0.931000,1
641,1789567812208488123,261814,0.000000,0
642,1789567812208895347,264875,0.000000,0
643,1789567812209302702,260755,0.931000,1
644,1789567812209710006,269597,0.931000,1
645,1789567812210117271,260677,0.931000,1
646,1789567812210524296,262497,0.931000,1
647,1789567812210931540,260259,0.931000,1
648,1789567812211338575,260829,0.931000,1
649,1789567812211746059,261440,0.931000,1
650,1789567812212153434,261381,0.931000,1
651,1789567812212560428,261402,0.000000,0
652,1789567812212968453,264403,0.931000,1
653,1789567812213375928,264703,0.931000,1
654,1789567812213783672,261354,0.000000,0
655,1789567812214190787,262475,0.000000,0
656,1789567812214597761,262826,0.931000,1
657,1789567812215005016,262726,0.931000,1
658,1789567812215411891,263657,0.000000,0
659,1789567812215819385,260408,0.931000,1
660,1789567812216228260,261988,0.931000,1
661,1789567812216635634,262030,0.000000,0
662,1789567812217042909,262370,0.931000,1
663,1789567812217450364,262671,0.000000,0
664,1789567812217857628,262722,0.931000,1
665,1789567812218265203,261272,0.931000,1
666,1789567812218672318,261603,0.000000,0
667,1789567812219079552,261934,0.931000,1
668,1789567812219486557,263434,0.000000,0
669,1789567812219893881,265836,0.931000,1
670,1789567812220301106,270486,0.000000,0
671,1789567812220708311,265766,0.931000,1
672,1789567812221115485,266848,0.931000,1
673,1789567812221523190,261328,0.931000,1
674,1789567812221930634,264429,0.931000,1
675,1789567812222338079,261540,0.931000,1
676,1789567812222745764,263980,0.000000,0
677,1789567812223153078,264361,0.000000,0
678,1789567812223561013,261912,0.000000,0
679,1789567812223969417,265903,0.931000,1
680,1789567812224376622,262744,0.000000,0
681,1789567812224783717,263224,0.931000,1
682,1789567812225190941,264215,0.000000,0
683,1789567812225598806,262766,0.931000,1
684,1789567812226006210,262797,0.931000,1
685,1789567812226413365,264208,0.000000,0
686,1789567812226820630,262748,0.000000,0
687,1789567812227227884,264679,0.931000,1
688,1789567812227635049,264710,0.931000,1
689,1789567812228042324,263670,0.931000,1
690,1789567812228449208,263801,0.931000,1
691,1789567812228856493,263322,0.931000,1
692,1789567812229263957,264873,0.931000,1
693,1789567812229671252,263443,0.000000,0
694,1789567812230078537,266164,0.000000,0
