count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,success
304,215920,0,215920,215920,0,0,0
305,293028,0,293028,293028,0,0,0
306,82734,0,82734,82734,0,0,0
307,530988,0,530988,530988,0,0,1
308,115298,0,115298,115298,0,0,1
309,105364,0,105364,105364,0,0,1
310,134018,0,134018,134018,0,0,1
311,3495751,0,3495751,3495751,0,0,0
312,3000598,0,3000598,3000598,0,0,1
313,2601682,0,2601682,2601682,0,0,1
314,2097639,0,2097639,2097639,0,0,0
315,1591790,0,1591790,1591790,0,0,0
316,1087038,0,1087038,1087038,0,0,1
318,78586,0,78586,78586,0,0,0
317,595826,0,595826,595826,0,0,0
319,426785,0,426785,426785,0,0,1
320,248139,0,248139,248139,0,0,0
321,130095,0,130095,130095,0,0,1
322,212397,0,212397,212397,0,0,1
323,224355,0,224355,224355,0,0,0
324,536169,0,536169,536169,0,0,1
325,124716,0,124716,124716,0,0,1
326,106760,0,106760,106760,0,0,0
327,619140,0,619140,619140,0,0,0
328,113546,0,113546,113546,0,0,1
329,2354361,0,2354361,2354361,0,0,0
330,1848869,0,1848869,1848869,0,0,0
331,1362225,0,1362225,1362225,0,0,1
332,857335,0,857335,857335,0,0,0
333,351312,0,351312,351312,0,0,0
334,77177,0,77177,77177,0,0,0
335,107190,0,107190,107190,0,0,0
336,1307682,0,1307682,1307682,0,0,1
337,814440,0,814440,814440,0,0,0
338,363262,0,363262,363262,0,0,0
339,383193,0,383193,383193,0,0,1
340,161992,0,161992,161992,0,0,0
341,97913,0,97913,97913,0,0,0
342,2950160,0,2950160,2950160,0,0,0
343,2432809,0,2432809,2432809,0,0,0
344,1928157,0,1928157,1928157,0,0,1
345,1443845,0,1443845,1443845,0,0,1
346,938244,0,938244,938244,0,0,1
347,434219,0,434219,434219,0,0,0
348,279921,0,279921,279921,0,0,1
349,156867,0,156867,156867,0,0,1
350,128484,0,128484,128484,0,0,1
351,2846307,0,2846307,2846307,0,0,0
352,2328924,0,2328924,2328924,0,0,0
353,1824957,0,1824957,1824957,0,0,1
354,1321060,0,1321060,1321060,0,0,0
355,817135,0,817135,817135,0,0,0
356,311543,0,311543,311543,0,0,1
357,71199,0,71199,71199,0,0,0
358,324995,0,324995,324995,0,0,1
359,222986,0,222986,222986,0,0,0
360,692299,0,692299,692299,0,0,1
361,185826,0,185826,185826,0,0,1
362,152869,0,152869,152869,0,0,0
363,1161301,0,1161301,1161301,0,0,1
364,652767,0,652767,652767,0,0,1
365,146181,0,146181,146181,0,0,0
366,2539081,0,2539081,2539081,0,0,0
367,2033172,0,2033172,2033172,0,0,0
368,1529316,0,1529316,1529316,0,0,0
369,1035189,0,1035189,1035189,0,0,1
370,554954,0,554954,554954,0,0,1
371,70988,0,70988,70988,0,0,0
372,146364,0,146364,146364,0,0,1
373,175181,0,175181,175181,0,0,0
