count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,success
389,462926,0,462926,462926,0,0,1
390,121436,0,121436,121436,0,0,0
391,106179,0,106179,106179,0,0,0
392,1483606,0,1483606,1483606,0,0,0
393,977237,0,977237,977237,0,0,1
394,470180,0,470180,470180,0,0,1
395,50407,0,50407,50407,0,0,0
396,362350,0,362350,362350,0,0,0
397,132079,0,132079,132079,0,0,0
398,1168115,0,1168115,1168115,0,0,0
399,662904,0,662904,662904,0,0,0
400,159158,0,159158,159158,0,0,1
401,63119,0,63119,63119,0,0,1
402,1140617,0,1140617,1140617,0,0,1
403,635840,0,635840,635840,0,0,0
404,132183,0,132183,132183,0,0,0
405,255622,0,255622,255622,0,0,0
406,866549,0,866549,866549,0,0,0
407,361283,0,361283,361283,0,0,0
408,749741,0,749741,749741,0,0,0
409,242854,0,242854,242854,0,0,0
410,324426,0,324426,324426,0,0,0
411,77537,0,77537,77537,0,0,0
412,1493125,0,1493125,1493125,0,0,1
413,985503,0,985503,985503,0,0,0
414,481845,0,481845,481845,0,0,0
415,45632,0,45632,45632,0,0,0
416,1565819,0,1565819,1565819,0,0,1
417,1060582,0,1060582,1060582,0,0,1
418,556297,0,556297,556297,0,0,0
419,52075,0,52075,52075,0,0,0
420,1544735,0,1544735,1544735,0,0,1
421,1038863,0,1038863,1038863,0,0,1
422,533010,0,533010,533010,0,0,0
423,28479,0,28479,28479,0,0,1
424,1219746,0,1219746,1219746,0,0,1
425,714499,0,714499,714499,0,0,1
426,209967,0,209967,209967,0,0,0
427,117297,0,117297,117297,0,0,1
428,338326,0,338326,338326,0,0,0
429,172924,0,172924,172924,0,0,0
430,419113,0,419113,419113,0,0,1
431,973535,0,973535,973535,0,0,0
432,467009,0,467009,467009,0,0,1
433,60304,0,60304,60304,0,0,0
434,1134787,0,1134787,1134787,0,0,1
435,627914,0,627914,627914,0,0,0
436,123923,0,123923,123923,0,0,0
437,1746331,0,1746331,1746331,0,0,0
438,1241303,0,1241303,1241303,0,0,1
439,735491,0,735491,735491,0,0,1
440,231590,0,231590,231590,0,0,0
