count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_rtt_ns
280,4601276,4830580,-229304,39854663,12816144
281,4598593,4830580,-231987,39854663,12816144
282,4595873,4830580,-234707,39854663,12816144
283,4594311,4830580,-236269,39854663,12816144
284,4578789,4830580,-251791,39854663,12816144
285,4573646,4830580,-256934,39854663,12816144
286,4523146,4830580,-307434,39854663,12816144
287,4515707,4830580,-314873,39854663,12816144
288,4508712,4830580,-321868,39854663,12816144
289,4501717,4830580,-328863,39854663,12816144
290,4472762,4830580,-357818,39854663,12816144
291,4444947,4830580,-385633,39854663,12816144
292,4434272,4830580,-396308,39854663,12816144
293,4418311,4830580,-412269,39854663,12816144
294,4405768,4830580,-424812,39854663,12816144
295,4391518,4830580,-439062,39854663,12816144
296,4369903,4830580,-460677,39854663,12816144
297,4357509,4830580,-473071,39854663,12816144
298,4342610,4830580,-487970,39854663,12816144
299,4331134,4830580,-499446,39854663,12816144
300,4316142,4830580,-514438,39854663,12816144
301,4302789,4830580,-527791,39854663,12816144
302,4285517,4830580,-545063,39854663,12816144
303,4275019,4830580,-555561,39854663,12816144
304,4259948,4830580,-570632,39854663,12816144
305,4247459,4830580,-583121,39854663,12816144
306,4231829,4830580,-598751,39854663,12816144
307,4213795,4830580,-616785,39854663,12816144
308,4199231,4830580,-631349,39854663,12816144
309,4182741,4830580,-647839,39854663,12816144
310,4168121,4830580,-662459,39854663,12816144
311,4157519,4830580,-673061,39854663,12816144
312,4145699,4830580,-684881,39854663,12816144
313,4137598,4830580,-692982,39854663,12816144
314,4127506,4830580,-703074,39854663,12816144
315,4122028,4830580,-708552,39854663,12816144
316,4112893,4830580,-717687,39854663,12816144
317,4104327,4830580,-726253,39854663,12816144
318,4097730,4830580,-732850,39854663,12816144
319,4089493,4830580,-741087,39854663,12816144
320,4079875,4830580,-750705,39854663,12816144
321,4021874,4830580,-808706,39854663,12816144
322,3996733,4830580,-833847,39854663,12816144
323,3978307,4830580,-852273,39854663,12816144
324,3968987,4830580,-861593,39854663,12816144
325,3957801,4830580,-872779,39854663,12816144
326,3948401,4830580,-882179,39854663,12816144
327,3937612,4830580,-892968,39854663,12816144
328,3921395,4830580,-909185,39854663,12816144
329,3908196,4830580,-922384,39854663,12816144
330,3893276,4830580,-937304,39854663,12816144
331,3883475,4830580,-947105,39854663,12816144
332,3872924,4830580,-957656,39854663,12816144
333,3862516,4830580,-968064,39854663,12816144
334,3849843,4830580,-980737,39854663,12816144
335,3792308,4830580,-1038272,39854663,12816144
336,3741495,4830580,-1089085,39854663,12816144
337,3727160,4830580,-1103420,39854663,12816144
338,3719730,4830580,-1110850,39854663,12816144
339,3712546,4830580,-1118034,39854663,12816144
340,3700687,4830580,-1129893,39854663,12816144
341,3689566,4830580,-1141014,39854663,12816144
342,3681218,4830580,-1149362,39854663,12816144
343,3670836,4830580,-1159744,39854663,12816144
344,3662961,4830580,-1167619,39854663,12816144
345,3653850,4830580,-1176730,39854663,12816144
346,3640529,4830580,-1190051,39854663,12816144
347,3631025,4830580,-1199555,39854663,12816144
348,3618452,4830580,-1212128,39854663,12816144
349,3606695,4830580,-1223885,39854663,12816144
350,3592392,4830580,-1238188,39854663,12816144
351,3574399,4830580,-1256181,39854663,12816144
352,3560602,4830580,-1269978,39854663,12816144
353,3545896,4830580,-1284684,39854663,12816144
354,3529741,4830580,-1300839,39854663,12816144
355,3518782,4830580,-1311798,39854663,12816144
356,3506423,4830580,-1324157,39854663,12816144
357,3459946,4830580,-1370634,39854663,12816144
358,3398055,4830580,-1432525,39854663,12816144
359,3385612,4830580,-1444968,39854663,12816144
360,3374333,4830580,-1456247,39854663,12816144
361,3364456,4830580,-1466124,39854663,12816144
362,3349748,4830580,-1480832,39854663,12816144
363,3336902,4830580,-1493678,39854663,12816144
364,3327565,4830580,-1503015,39854663,12816144
365,3316969,4830580,-1513611,39854663,12816144
366,3277681,4830580,-1552899,39854663,12816144
367,3226574,4830580,-1604006,39854663,12816144
368,3215055,4830580,-1615525,39854663,12816144
369,3193090,4830580,-1637490,39854663,12816144
370,3185347,4830580,-1645233,39854663,12816144
371,3177845,4830580,-1652735,39854663,12816144
372,3169564,4830580,-1661016,39854663,12816144
373,3156874,4830580,-1673706,39854663,12816144
374,3146573,4830580,-1684007,39854663,12816144
375,3132249,4830580,-1698331,39854663,12816144
376,3117825,4830580,-1712755,39854663,12816144
377,3104632,4830580,-1725948,39854663,12816144
378,3087059,4830580,-1743521,39854663,12816144
379,3020756,4830580,-1809824,39854663,12816144
380,3007596,4830580,-1822984,39854663,12816144
381,2998746,4830580,-1831834,39854663,12816144
382,2990033,4830580,-1840547,39854663,12816144
383,2980868,4830580,-1849712,39854663,12816144
384,2970488,4830580,-1860092,39854663,12816144
385,2958932,4830580,-1871648,39854663,12816144
386,2950082,4830580,-1880498,39854663,12816144
387,2941430,4830580,-1889150,39854663,12816144
388,2929049,4830580,-1901531,39854663,12816144
389,2915456,4830580,-1915124,39854663,12816144
390,2904385,4830580,-1926195,39854663,12816144
391,2886158,4830580,-1944422,39854663,12816144
392,2876592,4830580,-1953988,39854663,12816144
393,2867227,4830580,-1963353,39854663,12816144
394,2846746,4830580,-1983834,39854663,12816144
395,2833795,4830580,-1996785,39854663,12816144
396,2816483,4830580,-2014097,39854663,12816144
397,6584389,4830580,1753809,39854663,12816144
398,6573477,4830580,1742897,39854663,12816144
399,6565248,4830580,1734668,39854663,12816144
400,6556723,4830580,1726143,39854663,12816144
401,6543917,4830580,1713337,39854663,12816144
402,6478657,4830580,1648077,39854663,12816144
403,6463930,4830580,1633350,39854663,12816144
404,6450748,4830580,1620168,39854663,12816144
405,6440552,4830580,1609972,39854663,12816144
406,6424635,4830580,1594055,39854663,12816144
407,6416507,4830580,1585927,39854663,12816144
408,6407114,4830580,1576534,39854663,12816144
409,6399273,4830580,1568693,39854663,12816144
410,6386256,4830580,1555676,39854663,12816144
411,6375970,4830580,1545390,39854663,12816144
412,6365190,4830580,1534610,39854663,12816144
413,6354784,4830580,1524204,39854663,12816144
414,6343227,4830580,1512647,39854663,12816144
415,6333040,4830580,1502460,39854663,12816144
416,6321695,4830580,1491115,39854663,12816144
417,6262618,4830580,1432038,39854663,12816144
418,6250363,4830580,1419783,39854663,12816144
419,6238491,4830580,1407911,39854663,12816144
420,6229279,4830580,1398699,39854663,12816144
421,6222567,4830580,1391987,39854663,12816144
422,6215253,4830580,1384673,39854663,12816144
423,6204014,4830580,1373434,39854663,12816144
424,6163075,4830580,1332495,39854663,12816144
425,6123008,4830580,1292428,39854663,12816144
426,6113187,4830580,1282607,39854663,12816144
427,6107285,4830580,1276705,39854663,12816144
428,6100540,4830580,1269960,39854663,12816144
429,6092696,4830580,1262116,39854663,12816144
430,6081589,4830580,1251009,39854663,12816144
431,6074077,4830580,1243497,39854663,12816144
432,6067407,4830580,1236827,39854663,12816144
433,6058434,4830580,1227854,39854663,12816144
434,6046055,4830580,1215475,39854663,12816144
435,6040479,4830580,1209899,39854663,12816144
436,6032042,4830580,1201462,39854663,12816144
437,6024446,4830580,1193866,39854663,12816144
438,6016442,4830580,1185862,39854663,12816144
439,5984516,4830580,1153936,39854663,12816144
440,5968782,4830580,1138202,39854663,12816144
441,5960578,4830580,1129998,39854663,12816144
442,5951743,4830580,1121163,39854663,12816144
443,5938801,4830580,1108221,39854663,12816144
444,5904510,4830580,1073930,39854663,12816144
445,5894397,4830580,1063817,39854663,12816144
446,5887962,4830580,1057382,39854663,12816144
447,5879573,4830580,1048993,39854663,12816144
448,5872513,4830580,1041933,39854663,12816144
449,5858973,4830580,1028393,39854663,12816144
450,5806084,4830580,975504,39854663,12816144
451,5808922,4830580,978342,39854663,12816144
452,5802217,4830580,971637,39854663,12816144
453,5794494,4830580,963914,39854663,12816144
454,5789914,4830580,959334,39854663,12816144
455,5783075,4830580,952495,39854663,12816144
456,5774516,4830580,943936,39854663,12816144
457,5767268,4830580,936688,39854663,12816144
458,5754351,4830580,923771,39854663,12816144
459,5748695,4830580,918115,39854663,12816144
460,5743479,4830580,912899,39854663,12816144
461,5739137,4830580,908557,39854663,12816144
462,5780836,4830580,950256,39854663,12816144
463,5773418,4830580,942838,39854663,12816144
464,5767054,4830580,936474,39854663,12816144
465,5757661,4830580,927081,39854663,12816144
466,5707046,4830580,876466,39854663,12816144
467,5696766,4830580,866186,39854663,12816144
468,5690566,4830580,859986,39854663,12816144
469,5684051,4830580,853471,39854663,12816144
470,5692987,4830580,862407,39854663,12816144
471,5684150,4830580,853570,39854663,12816144
472,5681558,4830580,850978,39854663,12816144
473,5675871,4830580,845291,39854663,12816144
474,5669931,4830580,839351,39854663,12816144
475,5661637,4830580,831057,39854663,12816144
476,5651079,4830580,820499,39854663,12816144
477,5644127,4830580,813547,39854663,12816144
478,5635367,4830580,804787,39854663,12816144
479,5630114,4830580,799534,39854663,12816144
480,5624652,4830580,794072,39854663,12816144
481,5618796,4830580,788216,39854663,12816144
482,5609173,4830580,778593,39854663,12816144
483,5601292,4830580,770712,39854663,12816144
484,5594484,4830580,763904,39854663,12816144
485,5586949,4830580,756369,39854663,12816144
486,5574440,4830580,743860,39854663,12816144
