sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns
31,1782212028395860591,1782212071449722149,1782212071449748659,1782212028396004938,43053861558,-43053743721,-43053802640,58918,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
32,1782212028396036848,1782212071449979439,1782212071449995629,1782212028396248814,43053942591,-43053746815,-43053844703,97888,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
33,1782212028396281103,1782212071450145099,1782212071450167189,1782212028396420250,43053863996,-43053746939,-43053805468,58528,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
34,1782212028396457309,1782212071450392339,1782212071450409219,1782212028396663815,43053935030,-43053745404,-43053840217,94813,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
35,1782212028396695405,1782212071450557419,1782212071450582619,1782212028396835882,43053862014,-43053746737,-43053804376,57638,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
36,1782212028396867231,1782212071450810069,1782212071450826569,1782212028397079177,43053942838,-43053747392,-43053845115,97723,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
37,1782212028397111007,1782212071450973199,1782212071450994849,1782212028397246935,43053862192,-43053747914,-43053805053,57139,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
38,1782212028397279384,1782212071451217839,1782212071451233769,1782212028397487200,43053938455,-43053746569,-43053842512,95943,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
39,1782212028397520279,1782212071451384619,1782212071451409289,1782212028397662537,43053864340,-43053746752,-43053805546,58794,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
40,1782212028397694306,1782212071451636960,1782212071451652390,1782212028397905092,43053942654,-43053747298,-43053844976,97678,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
