sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns
38,1782212080315622144,1782212123370470484,1782212123370487204,1782212080315824320,43054848340,-43054662884,-43054755612,92728,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
39,1782212080315849730,1782212123370638174,1782212123370658094,1782212080316057306,43054788444,-43054600788,-43054694616,93828,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
40,1782212080316082835,1782212123370938904,1782212123370954904,1782212080316290361,43054856069,-43054664543,-43054760306,95763,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
41,1782212080316314391,1782212123371168544,1782212123371184774,1782212080316527566,43054854153,-43054657208,-43054755681,98472,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
42,1782212080316554346,1782212123371393934,1782212123371411764,1782212080316750352,43054839588,-43054661412,-43054750500,89088,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
43,1782212080316775071,1782212123371616724,1782212123371633004,1782212080316987588,43054841653,-43054645416,-43054743535,98118,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
44,1782212080317012038,1782212123371787904,1782212123371809214,1782212080317144845,43054775866,-43054664369,-43054720118,55748,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
45,1782212080317169335,1782212123371946174,1782212123371967004,1782212080317384420,43054776839,-43054582584,-43054679712,97127,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
46,1782212080317410220,1782212123372266275,1782212123372282035,1782212080317618226,43054856055,-43054663809,-43054759932,96123,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
47,1782212080317643805,1782212123372483675,1782212123372500115,1782212080317858041,43054839870,-43054642074,-43054740972,98898,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
