count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_rtt_ns
504,22744,37749,-15005,-622,32258
505,18576,37749,-19173,-622,32258
506,14664,37749,-23085,-622,32258
507,14006,37749,-23743,-622,32258
508,10241,37749,-27508,-622,32258
509,54428,37749,16679,-622,32258
510,20810,37749,-16939,-622,32258
511,14591,37749,-23158,-622,32258
512,11399,37749,-26350,-622,32258
513,11737,37749,-26012,-622,32258
514,18298,37749,-19451,-622,32258
515,13114,37749,-24635,-622,32258
516,14130,37749,-23619,-622,32258
517,13905,37749,-23844,-622,32258
518,10378,37749,-27371,-622,32258
519,20700,37749,-17049,-622,32258
520,12299,37749,-25450,-622,32258
521,10518,37749,-27231,-622,32258
522,18939,37749,-18810,-622,32258
523,51534,37749,13785,-622,32258
524,31046,37749,-6703,-622,32258
525,24122,37749,-13627,-622,32258
526,16805,37749,-20944,-622,32258
527,11905,37749,-25844,-622,32258
528,15466,37749,-22283,-622,32258
529,12918,37749,-24831,-622,32258
530,8125,37749,-29624,-622,32258
531,49303,37749,11554,-622,32258
532,16047,37749,-21702,-622,32258
533,11850,37749,-25899,-622,32258
534,14966,37749,-22783,-622,32258
535,12168,37749,-25581,-622,32258
536,12068,37749,-25681,-622,32258
537,10353,37749,-27396,-622,32258
538,41758,37749,4009,-622,32258
539,30758,37749,-6991,-622,32258
540,26494,37749,-11255,-622,32258
541,22635,37749,-15114,-622,32258
542,16118,37749,-21631,-622,32258
543,11753,37749,-25996,-622,32258
544,9710,37749,-28039,-622,32258
545,7826,37749,-29923,-622,32258
546,43445,37749,5696,-622,32258
547,12759,37749,-24990,-622,32258
548,9162,37749,-28587,-622,32258
549,16182,37749,-21567,-622,32258
550,11784,37749,-25965,-622,32258
551,9203,37749,-28546,-622,32258
552,7746,37749,-30003,-622,32258
553,12911,37749,-24838,-622,32258
554,8376,37749,-29373,-622,32258
555,48487,37749,10738,-622,32258
556,17550,37749,-20199,-622,32258
557,13030,37749,-24719,-622,32258
558,10538,37749,-27211,-622,32258
559,20070,37749,-17679,-622,32258
560,11726,37749,-26023,-622,32258
561,9368,37749,-28381,-622,32258
562,7317,37749,-30432,-622,32258
563,297707,37749,259958,-622,32258
564,266793,37749,229044,-622,32258
565,261003,37749,223254,-622,32258
566,256472,37749,218723,-622,32258
567,252549,37749,214800,-622,32258
568,248577,37749,210828,-622,32258
569,244464,37749,206715,-622,32258
570,240570,37749,202821,-622,32258
571,236792,37749,199043,-622,32258
572,232464,37749,194715,-622,32258
573,227791,37749,190042,-622,32258
574,219121,37749,181372,-622,32258
575,214461,37749,176712,-622,32258
576,210531,37749,172782,-622,32258
577,206469,37749,168720,-622,32258
578,200422,37749,162673,-622,32258
579,194463,37749,156714,-622,32258
580,189968,37749,152219,-622,32258
581,183628,37749,145879,-622,32258
582,179233,37749,141484,-622,32258
583,172889,37749,135140,-622,32258
584,168552,37749,130803,-622,32258
585,176684,37749,138935,-622,32258
586,175064,37749,137315,-622,32258
587,171919,37749,134170,-622,32258
588,169693,37749,131944,-622,32258
589,166270,37749,128521,-622,32258
590,164117,37749,126368,-622,32258
591,162460,37749,124711,-622,32258
592,160029,37749,122280,-622,32258
593,156921,37749,119172,-622,32258
594,154793,37749,117044,-622,32258
595,151920,37749,114171,-622,32258
596,150611,37749,112862,-622,32258
597,148706,37749,110957,-622,32258
598,145091,37749,107342,-622,32258
599,143001,37749,105252,-622,32258
600,140306,37749,102557,-622,32258
601,138205,37749,100456,-622,32258
602,136889,37749,99140,-622,32258
603,134671,37749,96922,-622,32258
604,131180,37749,93431,-622,32258
605,129714,37749,91965,-622,32258
606,126799,37749,89050,-622,32258
607,124784,37749,87035,-622,32258
608,122999,37749,85250,-622,32258
609,119861,37749,82112,-622,32258
610,117971,37749,80222,-622,32258
611,115212,37749,77463,-622,32258
612,113921,37749,76172,-622,32258
613,112157,37749,74408,-622,32258
614,110207,37749,72458,-622,32258
615,107839,37749,70090,-622,32258
616,105360,37749,67611,-622,32258
617,76635,37749,38886,-622,32258
618,68668,37749,30919,-622,32258
619,65601,37749,27852,-622,32258
620,61934,37749,24185,-622,32258
621,57892,37749,20143,-622,32258
622,52851,37749,15102,-622,32258
623,48590,37749,10841,-622,32258
624,46061,37749,8312,-622,32258
625,44564,37749,6815,-622,32258
626,40418,37749,2669,-622,32258
627,36818,37749,-931,-622,32258
628,31955,37749,-5794,-622,32258
629,26930,37749,-10819,-622,32258
630,23114,37749,-14635,-622,32258
631,15771,37749,-21978,-622,32258
632,11493,37749,-26256,-622,32258
633,9169,37749,-28580,-622,32258
634,6791,37749,-30958,-622,32258
635,41487,37749,3738,-622,32258
636,24424,37749,-13325,-622,32258
637,19920,37749,-17829,-622,32258
638,15430,37749,-22319,-622,32258
639,12339,37749,-25410,-622,32258
640,9537,37749,-28212,-622,32258
641,10236,37749,-27513,-622,32258
642,8836,37749,-28913,-622,32258
643,8002,37749,-29747,-622,32258
644,43859,37749,6110,-622,32258
645,15917,37749,-21832,-622,32258
646,10235,37749,-27514,-622,32258
647,16436,37749,-21313,-622,32258
648,10299,37749,-27450,-622,32258
