count_idx,delay_ns,loop_gap_ns,recv_block_ns
471,92607,14184,82740
472,51898,95637,11524
473,248926,18210,214272
474,204804,246472,12677
475,148882,21243,4991
476,133512,9902,5569
477,130647,24301,3900
478,116545,8390,3655
479,96329,7990,3657
480,118610,7938,37933
481,103363,42445,4741
482,41922,9108,9954
483,42117,14577,23264
484,25361,31820,8915
485,102315,13322,92188
486,174250,104895,125337
487,113468,150690,12060
488,145823,19185,122895
489,101180,148278,9711
490,48967,16208,10686
491,44916,15320,7600
492,35785,18506,8514
493,50868,12811,35387
494,149072,42734,124970
495,72412,148348,8720
496,54181,16108,11264
497,35088,17199,8435
498,140397,13639,127753
499,55639,148427,11703
500,38249,20104,8743
501,170147,13335,149389
502,98932,181310,11141
503,76020,19460,4879
504,68342,10399,9183
505,138878,13837,78971
506,57533,100024,13127
507,44919,21103,9167
508,29493,14266,8770
509,80411,13452,65299
510,154451,78164,118134
511,73994,138968,11109
512,210835,17380,193854
513,199013,227851,13534
514,138817,36999,5285
515,122514,10379,3807
516,116346,8162,4579
517,110687,8843,5640
518,99125,9757,3893
519,86467,8054,4607
520,81388,8763,3514
521,78781,11275,3645
522,74438,7906,3919
523,91177,8113,27513
524,87346,31792,12508
525,164856,16774,153640
526,215866,166890,224029
527,79280,256828,15146
528,71606,37044,7076
529,65132,13688,8069
530,53931,13517,4378
531,53873,9070,15704
532,38421,20093,4636
533,30595,8945,8015
534,28686,12421,8479
535,26540,12818,8760
536,23489,17196,8479
537,19336,12850,7647
538,77250,11960,66839
539,47380,79922,11408
540,112353,16995,89891
541,80103,108884,20338
542,143954,31213,119205
543,128994,162880,11770
544,118610,19545,4780
545,112968,9551,3637
546,106982,8117,4423
547,101663,8741,3641
548,95908,7943,4073
549,91146,8281,4334
550,88296,12443,3891
551,82569,8096,4053
552,75156,8271,4111
553,58760,8288,3842
554,62290,8172,21829
555,39132,26216,8954
556,143404,13204,127336
557,115105,152603,10177
558,55026,25266,5208
559,39958,9844,7792
560,30622,12263,8953
561,136312,13297,124181
562,104537,149494,17220
563,43910,23813,7311
564,29644,11950,10160
565,32294,25123,6645
566,27950,10996,7058
567,25459,11242,8439
568,37347,12792,26414
569,28741,33396,8351
570,25219,12694,8971
571,75411,13251,62407
572,51197,80002,10267
573,38673,17109,9022
574,28761,13361,8326
575,71712,12551,59855
576,164296,73221,123396
577,100277,152038,11948
578,84192,23157,7800
579,77475,21154,6162
580,65431,16693,5309
581,90475,31223,20916
582,87602,30377,10509
583,267992,17671,232486
584,67285,254918,11066
585,48550,20989,6557
586,44429,14500,11754
587,42400,19544,13572
588,32465,18353,8803
589,104807,20535,92918
590,114951,108982,67933
591,45720,80417,10186
592,28053,15951,8570
593,78676,13060,68106
594,48540,84337,15299
595,90487,27218,68760
596,110220,90617,62685
597,116089,76109,78234
598,81401,94626,34640
599,40500,46128,9485
600,39022,16716,13800
601,39768,22012,8129
602,35238,16603,9020
603,36047,19117,7041
604,30013,11587,9615
605,80493,13967,64666
606,108495,78083,69963
607,46828,83435,10989
608,29335,16672,8857
609,221625,13287,201456
610,210238,250655,14863
611,267687,23083,121401
612,245454,134664,7751
613,59346,14018,4713
614,40299,9071,10438
615,29825,14721,9402
616,44744,13533,35595
617,94886,42302,69212
618,231609,88372,182906
619,108752,212816,11120
620,87081,18899,5153
621,70553,10843,4116
622,48325,8476,4502
623,53417,8853,22793
624,49355,30078,12995
625,47849,30199,17640
626,42459,25556,6520
627,39190,14113,6630
628,40773,14616,12411
629,35955,16838,8179
630,31747,12430,9035
631,23759,13352,8336
632,24071,16956,8687
633,39496,13098,29045
634,22193,33846,8072
635,47497,12401,37038
636,34057,44066,5039
637,28675,9261,6925
