count_idx,delay_ns,clock_offset_ns,clock_sync_rtt_ns
736,8011,-679,32284
737,6036,-679,32284
738,6721,-679,32284
739,5140,-679,32284
740,25536,-679,32284
741,8998,-679,32284
742,6468,-679,32284
743,4842,-679,32284
744,9918,-679,32284
745,5635,-679,32284
746,6084,-679,32284
747,5577,-679,32284
748,3817,-679,32284
749,5970,-679,32284
750,5338,-679,32284
751,3739,-679,32284
752,21874,-679,32284
753,5909,-679,32284
754,4851,-679,32284
755,4581,-679,32284
756,5501,-679,32284
757,4173,-679,32284
758,7173,-679,32284
759,5823,-679,32284
760,4551,-679,32284
761,3173,-679,32284
762,23984,-679,32284
763,6797,-679,32284
764,3958,-679,32284
765,6579,-679,32284
766,5161,-679,32284
767,4865,-679,32284
768,3859,-679,32284
769,6416,-679,32284
770,5720,-679,32284
771,4624,-679,32284
772,6170,-679,32284
773,5083,-679,32284
774,3446,-679,32284
775,6017,-679,32284
776,5128,-679,32284
777,7475,-679,32284
778,5276,-679,32284
779,8169,-679,32284
780,24188,-679,32284
781,10597,-679,32284
782,8255,-679,32284
783,5826,-679,32284
784,4029,-679,32284
785,6036,-679,32284
786,5471,-679,32284
787,3719,-679,32284
788,8070,-679,32284
789,7598,-679,32284
790,5211,-679,32284
791,4167,-679,32284
792,25290,-679,32284
793,8862,-679,32284
794,6545,-679,32284
795,4838,-679,32284
796,10025,-679,32284
797,6452,-679,32284
798,5423,-679,32284
799,5603,-679,32284
800,3773,-679,32284
801,6132,-679,32284
802,5114,-679,32284
803,7813,-679,32284
804,15294,-679,32284
805,15149,-679,32284
806,14006,-679,32284
807,12151,-679,32284
808,9329,-679,32284
809,6914,-679,32284
810,8335,-679,32284
811,6210,-679,32284
812,6527,-679,32284
813,9270,-679,32284
814,5523,-679,32284
815,3792,-679,32284
816,23773,-679,32284
817,6766,-679,32284
818,4005,-679,32284
819,4294,-679,32284
820,11640,-679,32284
821,7428,-679,32284
822,5200,-679,32284
823,4407,-679,32284
824,8633,-679,32284
825,5378,-679,32284
826,3583,-679,32284
827,24894,-679,32284
828,7781,-679,32284
829,5239,-679,32284
830,8779,-679,32284
831,6735,-679,32284
832,6516,-679,32284
833,5606,-679,32284
834,4157,-679,32284
835,6234,-679,32284
836,4891,-679,32284
837,4617,-679,32284
838,4320,-679,32284
839,6399,-679,32284
840,5529,-679,32284
841,3772,-679,32284
842,9041,-679,32284
843,5615,-679,32284
844,3912,-679,32284
845,6708,-679,32284
846,5278,-679,32284
847,3836,-679,32284
848,6506,-679,32284
849,3501,-679,32284
850,6058,-679,32284
851,4964,-679,32284
852,4774,-679,32284
853,3447,-679,32284
854,6187,-679,32284
855,4879,-679,32284
856,3616,-679,32284
857,5811,-679,32284
858,4367,-679,32284
859,6468,-679,32284
860,5303,-679,32284
861,3442,-679,32284
862,26734,-679,32284
863,11166,-679,32284
864,7098,-679,32284
865,7229,-679,32284
866,6211,-679,32284
867,5175,-679,32284
868,7805,-679,32284
869,6303,-679,32284
870,4546,-679,32284
871,3735,-679,32284
872,6450,-679,32284
873,4141,-679,32284
874,4596,-679,32284
875,8411,-679,32284
876,6534,-679,32284
877,4648,-679,32284
878,25169,-679,32284
879,8268,-679,32284
880,6264,-679,32284
881,5123,-679,32284
882,10412,-679,32284
883,6208,-679,32284
884,7640,-679,32284
885,6363,-679,32284
886,4297,-679,32284
887,7086,-679,32284
888,5675,-679,32284
889,4401,-679,32284
890,8517,-679,32284
891,4335,-679,32284
892,6818,-679,32284
893,3862,-679,32284
894,6475,-679,32284
