count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
522,15502,15031,17324
523,14904,5545,16745
524,2526,3704,3178
525,2197,2127,2756
526,1817,2066,2388
527,2184,2379,2741
528,2362,2327,2885
529,2352,2287,2855
530,2207,2156,2701
531,2732,2455,3257
532,2402,2313,2952
533,3712,2510,4195
534,2445,5127,2952
535,4782,15132,5820
536,25206,4569,27618
537,4500,5321,5946
538,3687,20131,4749
539,18705,19103,21370
540,6229,3764,8019
541,3839,3941,4838
542,3457,3449,4468
543,5698,3860,7184
544,3689,4599,5598
545,5611,3952,6566
546,18666,15244,20649
547,2635,2234,3816
548,1900,2003,2403
549,1983,1856,2510
550,2516,2060,3000
551,1960,1982,2409
552,1901,1810,2417
553,1891,2021,2433
554,2302,2097,2831
555,1978,2158,2477
556,2167,12656,2628
557,2937,2456,4030
558,2179,2863,2733
559,2938,4220,3424
560,2629,2503,3089
561,2365,2282,2828
562,2855,2571,3349
563,2910,2276,3420
564,1910,2288,2399
565,2555,2602,3050
566,2398,1041,2905
567,2448,750,2904
568,2404,723,2902
569,2269,775,2730
570,2806,1299,3586
571,3525,1243,4303
572,11088,1394,11927
573,6036,1008,6830
574,5910,771,6363
575,2924,822,3372
576,2678,783,3258
577,4106,813,4569
578,3057,791,3501
579,2688,12605,3138
580,20121,4646,22188
581,2516,2636,3274
582,2555,2541,3133
583,1963,2498,2459
584,2134,2268,2596
585,2044,2752,2553
586,2208,2217,2687
587,2092,2340,2567
588,2407,2472,2892
589,2239,2291,2760
590,2525,2424,3038
591,2390,2534,2877
592,2414,3754,2890
593,2425,4984,2908
594,2607,2542,3103
595,2505,3832,3113
596,2538,4729,2982
597,2590,2590,3120
598,2886,2502,3339
599,2298,15720,2793
600,15335,15436,17094
601,15234,3219,17006
602,3201,2920,3709
603,2850,3731,3336
604,2627,2292,3078
605,18821,19362,20809
606,19092,19223,21408
607,19062,4701,21160
608,6577,3920,8054
609,19206,3566,21316
610,2692,2757,3668
611,2532,2524,3308
612,2266,1958,2769
613,2025,1982,2508
614,2286,2136,2768
615,1788,2396,2288
616,2427,2070,2911
617,2199,2460,2680
618,2509,2349,2977
619,4664,2128,5151
620,3093,2972,3551
621,2367,2397,2840
622,2656,2530,3139
623,8915,2674,9398
624,2906,2359,3365
625,4553,11193,5006
626,14728,3493,16522
627,2693,4800,3626
628,3050,2528,3681
629,1877,4611,2327
630,3933,6551,4741
631,18225,15377,20143
632,17281,4043,19558
633,4139,3649,4939
634,3552,47101,4489
635,15960,18610,18263
636,3079,2857,4353
637,1982,2483,2773
638,2147,1903,2603
639,2295,2269,2806
640,2406,2412,2882
641,2254,2256,2715
642,2206,2294,2712
643,2394,2408,2865
644,2563,4702,3049
645,2144,3005,2636
646,2871,4781,3347
647,4190,2287,4691
648,2692,2545,3173
649,4613,16672,5658
650,19036,4215,21104
651,4241,17824,5611
652,4469,3708,6161
653,6768,17420,8425
654,17192,4017,19237
655,3383,7806,4575
656,3536,20369,4462
657,17908,18699,20102
658,6474,19050,8229
659,17082,18115,19280
660,4462,3756,5926
661,3650,19788,4667
662,16793,18741,19050
663,4471,3878,5723
664,3584,19826,4536
665,14270,18135,16194
666,3309,2808,4389
667,2043,3484,2606
668,2457,2888,2942
669,2597,16361,3102
670,15180,14706,16993
671,15198,14846,17026
672,15002,14722,16827
673,14930,14681,16747
674,14963,14625,16774
675,14806,14535,16631
676,3751,2990,4880
677,2721,2261,3232
678,2745,3741,3225
679,14124,14908,15936
680,3247,2852,4443
681,3165,2912,3965
682,2632,2017,3127
683,3039,2268,3530
684,2238,2650,2729
685,3596,2549,4254
686,2855,2330,3347
687,3372,3490,3868
688,4897,14965,5943
689,14768,23803,16587
690,15277,15383,17200
691,15107,15209,16938
692,21601,15268,23429
693,14827,14993,16645
694,14807,14952,16644
695,14747,15042,16590
696,14866,14760,16687
697,14833,14917,16622
698,14742,14927,16554
699,15344,14807,17203
700,14747,14890,16556
701,14804,14827,16613
702,14660,14780,16466
703,14730,14814,16537
704,14762,14882,16581
705,3254,2939,4389
706,4313,2280,5432
707,3186,3364,3695
708,2635,2725,3099
709,14818,15154,16635
710,18484,114566,20569
711,28202,22310,30466
712,5543,81772,30939
713,37397,115489,40721
714,25241,18138,27520
715,4176,5141,5536
716,3645,35930,81293
717,19466,4172,21717
718,4450,3152,5335
719,3499,4468,4330
720,3251,3302,3963
721,3814,3311,4533
722,4923,13246,5737
723,3229,4723,4027
724,3331,3848,4107
725,3701,49433,4533
726,56942,33416,62823
727,21965,4501,24069
728,7308,5575,8213
729,5250,4049,6176
730,4051,20506,4930
731,19446,19929,21582
732,19624,7048,21578
733,4258,49710,5390
734,22906,15482,25028
735,4376,2398,5305
736,2562,2037,3180
737,1913,1873,2441
738,2001,2243,2521
739,2145,2153,2769
740,2240,1881,2772
741,2533,1846,3062
742,2404,2436,2891
743,3455,3281,4215
744,3813,2928,4558
745,3700,3622,4556
746,9161,3932,10054
747,20284,3707,22221
748,3363,2658,4466
749,3283,2786,4026
750,5201,4133,6046
751,20361,3896,22307
752,3085,2538,4129
753,2894,7037,3574
754,16256,16075,18035
755,15047,3204,16852
756,2844,2608,3476
757,2500,4474,3025
758,2902,15529,3467
759,15183,15647,17002
760,15394,3236,17236
761,3074,2188,3724
762,2137,2349,2626
763,3362,4387,3920
764,3190,2397,3688
765,3920,15004,4411
766,14965,15257,16819
767,14980,3371,16815
768,2401,1904,3019
769,1938,2459,2453
770,3315,5613,4232
771,5503,18541,6340
772,15453,4931,17304
773,2984,2344,3932
774,3961,3864,4616
775,3629,5019,4287
776,2634,2426,3178
777,2861,2383,3345
778,2264,2546,2823
779,3605,7576,4120
780,15277,20819,17103
781,15319,15363,17151
782,15185,15215,17027
783,14989,3069,16791
784,86221,18206,90972
785,3160,2921,3920
786,2681,2301,3223
787,1954,2022,2588
788,2555,2783,3015
789,3658,2432,4137
790,5345,2319,6388
791,6001,3734,6816
792,17033,3541,18949
793,3242,2513,4313
794,3798,2489,4490
795,3685,2778,4591
796,3072,2215,3601
797,3569,2837,4062
798,2764,2532,3271
799,15461,3336,17269
800,3459,2777,4534
801,3572,2302,4289
802,2770,3945,3307
803,15821,15604,17615
804,15093,15642,16885
805,15238,3061,17004
806,3031,14689,3651
807,15081,15239,16867
808,15224,14893,17015
809,14743,3018,16509
810,2920,2107,3534
811,3428,2475,4003
812,3977,2337,4514
813,3017,2183,3544
814,2597,2330,3093
815,2324,2400,2867
816,2759,2268,3256
817,2984,2197,3492
818,2831,2699,3327
819,2755,1968,3317
820,2720,1955,3208
821,3287,2908,3782
822,2587,2485,3124
823,15347,3509,17117
824,3299,2766,4037
825,3006,2644,3543
826,3781,2653,4306
827,3032,2224,3598
828,2617,8182,3121
829,15340,15945,17141
830,15269,3153,17080
831,3010,14920,3663
832,15368,15221,17164
833,14851,4602,16610
834,2853,2169,3461
835,3291,2421,3831
836,15632,14849,17431
837,15096,3037,16891
838,3168,2189,4023
839,3488,2071,3983
840,2606,2989,3232
841,38314,8113,40327
842,42809,24283,44855
843,42505,22805,44540
844,5751,4017,7275
845,3515,19985,4411
846,4739,19399,6448
847,5131,23614,6790
848,22680,20579,24876
849,18820,7260,21356
850,4128,3058,4937
851,8833,3936,10084
852,3423,2594,3955
853,2740,2413,3252
854,2539,2463,3076
855,16584,16513,18465
856,15457,3140,17282
857,2942,14978,3572
858,17712,15362,19614
859,5437,2828,6846
860,2862,2300,3436
861,3233,2798,3739
862,19668,23628,25023
863,4415,4874,6043
864,5964,3475,7450
865,6765,3832,8411
866,3815,3235,4687
867,4966,3854,5769
868,3825,3636,4663
869,6278,3566,7723
870,4228,3699,5052
871,3567,3758,4431
872,20877,4851,23295
873,4163,4238,5878
874,3828,3848,4714
875,3434,3459,4177
876,3850,4056,4680
877,3588,19534,4448
878,5029,4260,6888
879,3477,10948,5008
880,4199,4369,5439
881,3719,3973,4590
882,3691,19510,4767
883,4850,3912,6552
884,3550,3748,4506
885,3626,3518,4531
886,3922,3931,4802
887,3304,3409,4204
888,157891,19886,163632
889,4364,4311,5892
890,5991,3412,6885
891,3843,3420,4827
892,4014,4363,4822
893,4011,3676,4911
894,3847,3681,4700
895,3860,3594,4723
896,4983,3975,5930
897,3663,4035,4665
898,4133,3461,5102
