sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,used_for_offset,used_for_best_path,clock_sync_method,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
51,1780650930299180461,1780650930299191924,1780650930299192061,1780650930299209586,11463,17525,3031,14494,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
52,1780650930299220758,1780650930299232075,1780650930299232218,1780650930299250013,11317,17795,3239,14556,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
53,1780650930299261148,1780650930299272541,1780650930299272675,1780650930299290274,11393,17599,3103,14496,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
54,1780650930299301460,1780650930299313086,1780650930299313220,1780650930299330618,11626,17398,2886,14512,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
55,1780650930299341782,1780650930299356359,1780650930299356489,1780650930299372298,14577,15809,616,15193,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
56,1780650930299382304,1780650930299392329,1780650930299392452,1780650930299408128,10025,15676,2825,12850,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
57,1780650930299418288,1780650930299428412,1780650930299428533,1780650930299444263,10124,15730,2803,12927,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
58,1780650930299454409,1780650930299464759,1780650930299464890,1780650930299480642,10350,15752,2701,13051,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
59,1780650930299492551,1780650930299504596,1780650930299504722,1780650930299521127,12045,16405,2180,14225,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
60,1780650930299531239,1780650930299541419,1780650930299541554,1780650930299557972,10180,16418,3119,13299,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
