sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,used_for_offset,used_for_best_path,clock_sync_method,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
72,1780651151411140263,1780651151411147386,1780651151411147412,1780651151411159699,7123,12287,2582,9705,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
73,1780651151411168736,1780651151411175876,1780651151411175902,1780651151411188172,7140,12270,2565,9705,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
74,1780651151411197149,1780651151411204360,1780651151411204387,1780651151411216914,7211,12527,2658,9869,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
75,1780651151411225834,1780651151411233037,1780651151411233063,1780651151411245380,7203,12317,2557,9760,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
76,1780651151411254319,1780651151411261451,1780651151411261477,1780651151411273698,7132,12221,2544,9676,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
77,1780651151411282665,1780651151411289059,1780651151411289085,1780651151411301331,6394,12246,2926,9320,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
78,1780651151411310317,1780651151411316594,1780651151411316620,1780651151411328829,6277,12209,2966,9243,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
79,1780651151411337856,1780651151411344259,1780651151411344285,1780651151411356632,6403,12347,2972,9375,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
80,1780651151411365667,1780651151411372008,1780651151411372034,1780651151411384296,6341,12262,2960,9301,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
81,1780651151411393327,1780651151411399600,1780651151411399626,1780651151411411743,6273,12117,2922,9195,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
