count_index,emit_ts_ns,rtt_ns,e2r_ns,werner,success_bit
271,1785326941710689675,385663,174146,0.872139,1
272,1785326941711077128,384622,171600,0.873853,0
273,1785326941711463230,393042,175435,0.871274,0
274,1785326941711857792,386582,170540,0.874567,1
275,1785326941712245844,388472,173085,0.872853,1
276,1785326941712635936,381162,171480,0.873934,0
277,1785326941713018658,380282,170635,0.874503,1
278,1785326941713400470,379962,169650,0.875168,1
279,1785326941713782162,389683,173565,0.872530,1
280,1785326941714173835,387562,174628,0.871815,1
281,1785326941714563177,379692,168463,0.875970,0
282,1785326941714944559,377192,169268,0.875426,1
283,1785326941715335611,390322,178343,0.869324,0
284,1785326941715727763,385192,173888,0.872313,1
285,1785326941716114475,386712,172573,0.873197,0
286,1785326941716502617,380212,172448,0.873282,1
287,1785326941716884289,391203,173253,0.872740,1
288,1785326941717277072,382452,173187,0.872784,0
289,1785326941717661164,383112,174622,0.871820,0
290,1785326941718045876,383992,173387,0.872650,1
291,1785326941718431438,384722,174312,0.872028,0
292,1785326941718817870,399652,186557,0.863849,1
293,1785326941719219222,386232,175962,0.870920,1
294,1785326941719612094,392973,181677,0.867097,0
295,1785326941720007207,384582,175171,0.871451,0
296,1785326941720393469,386142,177095,0.870160,0
297,1785326941720781041,383962,175980,0.870908,1
298,1785326941721166773,382172,173265,0.872732,1
299,1785326941721550535,383442,173430,0.872621,0
300,1785326941721935537,381962,173045,0.872880,0
301,1785326941722319429,381542,173290,0.872715,1
302,1785326941722702831,380172,173435,0.872617,1
303,1785326941723084443,383692,174650,0.871801,1
304,1785326941723469605,382262,174265,0.872059,1
305,1785326941723853427,378402,170770,0.874412,1
306,1785326941724233379,378522,170505,0.874591,0
307,1785326941724613411,381372,172690,0.873119,1
308,1785326941724996333,373513,168675,0.875827,0
309,1785326941725371296,375982,168299,0.876081,1
310,1785326941725749338,375532,169494,0.875273,1
311,1785326941726126430,382082,173789,0.872379,1
312,1785326941726510022,380282,173274,0.872726,1
