count_idx,delay_ns,clock_offset_ns,clock_sync_rtt_ns
370,-40781413,2144857345,10994807
371,-40787197,2144857345,10994807
372,-40796473,2144857345,10994807
373,-40773566,2144857345,10994807
374,-40781439,2144857345,10994807
375,-40788611,2144857345,10994807
376,-40825528,2144857345,10994807
377,-40838150,2144857345,10994807
378,-40860364,2144857345,10994807
379,-40865860,2144857345,10994807
380,-40871814,2144857345,10994807
381,-40877975,2144857345,10994807
382,-40884062,2144857345,10994807
383,-40891142,2144857345,10994807
384,-40898242,2144857345,10994807
385,-40904109,2144857345,10994807
386,-40910319,2144857345,10994807
387,-40916485,2144857345,10994807
388,-40922580,2144857345,10994807
389,-40930236,2144857345,10994807
390,-40936678,2144857345,10994807
391,-40943017,2144857345,10994807
392,-40949657,2144857345,10994807
393,-40956416,2144857345,10994807
394,-40965587,2144857345,10994807
395,-40971330,2144857345,10994807
396,-40976267,2144857345,10994807
397,-40981562,2144857345,10994807
398,-40986838,2144857345,10994807
399,-40991959,2144857345,10994807
400,-40996993,2144857345,10994807
401,-41003520,2144857345,10994807
402,-41014236,2144857345,10994807
403,-41028270,2144857345,10994807
404,-41033153,2144857345,10994807
405,-41038421,2144857345,10994807
406,-41044539,2144857345,10994807
407,-41050347,2144857345,10994807
408,-41055777,2144857345,10994807
409,-41061466,2144857345,10994807
410,-41066740,2144857345,10994807
411,-41083537,2144857345,10994807
412,-41088956,2144857345,10994807
413,-41094657,2144857345,10994807
414,-41100473,2144857345,10994807
415,-41105515,2144857345,10994807
416,-41121757,2144857345,10994807
417,-41126692,2144857345,10994807
418,-41131604,2144857345,10994807
419,-41136622,2144857345,10994807
420,-41142777,2144857345,10994807
421,-41148726,2144857345,10994807
422,-41154075,2144857345,10994807
423,-41159373,2144857345,10994807
424,-41164318,2144857345,10994807
425,-41170453,2144857345,10994807
426,-41178403,2144857345,10994807
427,-41183153,2144857345,10994807
428,-41187671,2144857345,10994807
429,-41200537,2144857345,10994807
430,-41206998,2144857345,10994807
431,-41212330,2144857345,10994807
432,-41216785,2144857345,10994807
433,-41222088,2144857345,10994807
434,-41227151,2144857345,10994807
435,-41235929,2144857345,10994807
436,-41245405,2144857345,10994807
437,-41250134,2144857345,10994807
438,-41255402,2144857345,10994807
439,-41262279,2144857345,10994807
440,-41268424,2144857345,10994807
441,-41273558,2144857345,10994807
442,-41278952,2144857345,10994807
443,-41288453,2144857345,10994807
444,-41292885,2144857345,10994807
445,-41296865,2144857345,10994807
446,-41300824,2144857345,10994807
447,-41306004,2144857345,10994807
