count_idx,delay_ns,loop_gap_ns
938,30454,43806
939,12561,42614
940,26989,5945
941,49203,38576
942,32413,59726
943,30104,14075
944,30212,6643
945,31115,5929
946,30915,5705
947,30091,5413
948,29554,5802
949,54626,5076
950,57417,32549
951,38350,51463
952,35631,10155
953,34230,6315
954,34338,5648
955,34081,5693
956,33315,5118
957,32021,4706
958,31215,4673
959,37258,7462
960,50317,9992
961,36770,77588
962,36370,39873
963,28963,45241
964,27043,34933
965,47774,33069
966,23163,57592
967,20987,17193
968,17345,6653
969,16043,5850
970,13205,7629
971,39836,20002
972,41815,71032
973,11123,49509
974,32235,7563
975,15256,38704
976,10876,21219
977,11269,7148
978,9003,7153
979,33456,7319
980,20913,48754
981,19231,10458
982,20251,7240
983,17487,4302
984,18148,6448
985,14921,3230
986,12060,2998
987,13519,3347
988,9961,7508
989,34955,5092
990,18266,50600
991,28093,15568
992,27006,54190
993,14172,29823
994,10284,7241
995,7301,4655
996,28138,4851
997,35567,31802
998,19663,49591
999,17614,10938
1000,29107,13855
1001,15001,36962
1002,11832,7957
1003,9496,5246
1004,7433,4878
1005,27966,4930
1006,15175,30240
1007,30591,12971
1008,18245,47451
1009,13289,7794
1010,11411,3704
1011,8544,5118
1012,27355,4558
1013,38757,41620
1014,19086,46731
1015,14508,7700
1016,12745,5312
1017,13537,7560
1018,12261,4779
1019,14238,4877
1020,37758,9647
1021,28923,48215
1022,21760,8578
1023,21682,6116
1024,22277,10331
1025,47556,12222
1026,36883,64675
1027,19446,9818
1028,14148,8755
1029,10892,8238
1030,46775,7230
1031,26692,69859
1032,22746,12007
1033,17242,4897
1034,15132,3732
1035,10892,8471
1036,9627,3186
1037,28520,4771
1038,38840,41592
1039,27564,43755
1040,12614,34910
1041,8718,8295
1042,5856,4643
1043,23910,4440
1044,12822,28109
1045,7271,6178
1046,28314,4478
1047,43271,36118
1048,26932,65912
1049,20967,9216
1050,20725,3506
1051,15023,9948
1052,11657,4669
1053,47733,6814
1054,21160,54686
1055,15230,7070
1056,11908,3370
1057,12928,6704
1058,9934,3273
1059,9838,3124
1060,9069,5780
1061,9215,4992
1062,31070,8429
1063,9733,35469
1064,37600,7162
1065,14408,44274
1066,9406,17112
1067,7460,5748
1068,10996,5399
1069,7799,11015
1070,5811,4730
1071,24742,4612
1072,9882,28334
1073,36490,6270
1074,26029,61980
1075,24539,9471
1076,18434,6185
1077,14433,5625
1078,13896,5783
1079,11955,7195
1080,31976,7288
1081,34698,50578
1082,46316,90547
1083,40868,9298
1084,37746,3583
1085,34581,3014
1086,31536,2880
1087,28388,3771
1088,17087,3164
1089,10463,7279
1090,43918,6311
1091,31037,67415
1092,28896,8853
1093,27919,5040
1094,27163,4560
1095,26269,4724
1096,25857,4685
1097,25587,5058
1098,59000,5199
1099,89318,41399
1100,43669,35797
1101,18363,66019
1102,14522,9180
1103,12788,7738
1104,16085,7955
1105,39475,17155
1106,16384,56359
1107,14288,13300
1108,10984,7182
1109,34979,5316
1110,27186,37975
1111,14439,32347
1112,10055,7517
1113,9410,3729
1114,7965,5044
1115,50641,7027
1116,19538,56962
1117,13354,5836
1118,10174,3423
1119,8232,3197
1120,7609,4295
1121,7637,5145
1122,5390,7767
1123,8232,9302
1124,6650,4265
1125,50735,4566
1126,13139,139134
1127,34890,7715
1128,44799,39639
1129,25139,52449
1130,27903,8471
1131,28976,32394
1132,33315,36210
1133,26552,37889
1134,12541,32624
1135,43113,5930
1136,31789,57511
1137,21175,7005
1138,15530,11895
1139,14296,5264
1140,16355,9334
1141,15223,5338
1142,13863,8002
1143,12804,7928
1144,40974,12538
1145,33017,60810
1146,15043,36715
1147,12999,15543
1148,17393,17357
1149,7178,4350
1150,27127,4727
1151,35570,33563
1152,33455,50637
1153,36687,43129
1154,17284,46728
1155,14152,17986
1156,12894,12162
1157,13685,5122
1158,12714,9293
1159,11497,4800
1160,10532,5429
1161,12890,4781
1162,11956,9304
1163,14102,4902
1164,13954,7758
1165,12682,7811
1166,13443,5248
1167,12590,8086
1168,10036,4731
1169,8349,3590
1170,7905,4369
1171,21694,5230
1172,16878,26239
1173,14050,19575
1174,37281,8148
1175,36192,55402
1176,46849,39983
1177,21981,54552
1178,16662,8963
1179,14561,8387
1180,10458,7944
1181,40028,11913
1182,16032,56057
1183,11828,7625
1184,11379,5774
1185,10780,5460
1186,10790,5416
1187,10468,5539
1188,9899,5451
1189,13930,9254
1190,37947,5898
1191,42075,32138
1192,44509,7381
1193,37497,60102
1194,44074,13426
1195,13443,62255
1196,14037,9400
1197,39022,14057
1198,21141,40280
1199,17557,8440
1200,15560,5483
1201,15834,4975
1202,15431,6471
1203,15839,4073
1204,50160,6358
1205,20614,173291
1206,19957,17420
1207,14924,6214
1208,14638,5629
1209,12543,8665
1210,12140,7812
1211,25517,12204
1212,41580,28822
1213,18873,46100
1214,66208,57538
1215,63764,11325
1216,59812,6036
1217,39348,4889
1218,31441,5157
1219,25202,9539
1220,19858,27061
1221,19833,8369
1222,34682,11847
1223,16552,43307
1224,14352,10027
1225,11187,8230
1226,9026,7728
1227,15166,7690
1228,11856,16874
1229,9847,7841
1230,17545,7562
1231,13779,18096
1232,60105,8006
1233,40816,166310
1234,36242,10300
1235,31777,6877
1236,28143,5893
1237,24883,5637
1238,24102,5664
1239,29092,10673
1240,28623,5366
1241,32365,4649
1242,48460,9778
1243,12933,84503
1244,12200,9243
1245,8278,11720
1246,44193,6415
1247,34450,58984
1248,26420,9037
1249,19883,4888
1250,14394,7350
1251,31072,7395
1252,16053,51619
1253,12908,10540
1254,10361,8473
1255,11262,10840
1256,9662,8200
1257,15632,7792
1258,10891,16792
1259,63040,6904
1260,35904,86114
1261,25649,9215
1262,21896,5388
1263,23990,5095
1264,17567,10503
1265,12213,4592
1266,11042,4919
1267,19223,4743
1268,18359,14962
1269,17280,5189
1270,12455,4777
1271,10888,4932
1272,12751,8374
1273,11093,5025
1274,10576,4628
1275,16719,4737
1276,14984,11776
1277,15284,4777
1278,11260,6924
1279,41246,5129
1280,30699,54170
1281,21485,8166
1282,22984,5819
1283,37935,12560
1284,20882,45608
1285,13658,9407
1286,37193,7494
1287,41853,54776
1288,33140,53541
1289,33902,9235
1290,33121,7840
1291,33765,5661
1292,33408,5533
1293,33177,5472
1294,32122,5050
1295,70228,4750
1296,139510,46652
1297,35056,79414
1298,26255,9098
1299,21316,5164
1300,16622,5039
1301,14211,4624
1302,11423,7583
1303,31830,6357
1304,47374,36732
1305,40687,67609
1306,34783,11327
1307,28658,5346
1308,23927,4578
1309,15514,4391
1310,23411,4551
1311,19175,17932
1312,17512,4785
1313,39363,10143
1314,35428,48552
1315,20563,41008
1316,17127,11307
1317,63394,8537
1318,31797,77161
1319,23555,8009
1320,18788,4944
1321,18735,4563
1322,15229,9651
1323,12156,7042
1324,40841,7556
1325,13879,49544
1326,12903,10530
1327,8432,11849
1328,31092,7604
1329,14233,35079
1330,10705,13320
1331,51026,8105
1332,27159,59049
1333,20831,9369
1334,21697,5342
1335,16106,10957
1336,14070,4493
1337,10189,8282
1338,18099,17704
1339,14155,5384
1340,12515,4733
1341,11363,6883
1342,7950,7163
1343,55172,6525
1344,24013,64102
1345,17835,8498
1346,15820,9412
1347,15841,5152
1348,10726,8912
1349,15746,7278
1350,46524,17400
1351,57877,55629
1352,25345,70978
1353,68082,16429
1354,35240,76541
1355,21226,16181
1356,35283,5967
1357,35116,26446
1358,31995,6156
1359,27716,5503
1360,25411,5584
1361,22240,5362
1362,41191,4678
1363,48255,35219
1364,45127,11765
1365,18326,54309
1366,13780,10357
1367,11287,7423
1368,8513,7811
1369,46667,6594
1370,31118,51988
1371,17910,16482
1372,12683,6913
1373,9328,8157
1374,14638,7593
1375,9217,14944
1376,26434,8134
1377,35767,30792
1378,17350,39490
1379,15630,11852
1380,11159,7476
1381,20506,7125
1382,13753,21061
1383,44081,6925
1384,11493,51252
1385,17143,10894
1386,14204,17866
1387,17091,8728
