count_idx,delay_ns,loop_gap_ns,recv_block_ns
575,38504,4433,1430
576,36162,2979,1230
577,33524,2733,1380
578,31035,2893,1223
579,21870,2727,1415
580,19794,2895,1614
581,17801,3154,1249
582,17484,4155,1479
583,15874,3089,1843
584,13424,3345,1250
585,16174,2770,5837
586,14671,7453,2886
587,6871,4467,2862
588,372303,4451,367042
589,381857,376398,5798
590,380917,13157,1991
591,379936,4410,1657
592,378026,3322,1685
593,376370,3269,1337
594,373599,2847,1296
595,371417,2807,1277
596,369311,2778,1428
597,369051,4659,1299
598,366485,2874,1284
599,364220,2783,1345
600,361935,2874,1370
601,359178,2879,1340
602,356974,2833,1315
603,354361,2881,1221
604,352908,4396,1352
605,350697,2948,1433
606,347231,3410,1275
607,344839,2795,1402
608,342368,2901,1261
609,369640,2778,30216
610,368033,31932,1351
611,369109,4496,1408
612,370427,3012,3237
613,369866,4846,1329
614,369160,2843,1352
615,368223,2921,1269
616,361904,2778,1360
617,360938,2901,1204
618,361961,2705,1365
619,362590,4592,2985
620,361707,4562,1312
621,360852,2892,1406
622,361453,3261,2806
623,360255,4390,1304
624,359516,2894,1360
625,358426,2941,1287
626,359063,4439,1527
627,358447,3090,1654
628,356586,3221,1239
629,355966,2779,1832
630,355068,3456,1229
631,354235,2801,1318
632,353063,2846,1199
633,353879,4218,1430
634,352863,3018,1221
635,350313,2774,1341
636,349600,2885,1412
637,348704,2930,1339
638,347960,2871,1333
639,347133,2943,1259
640,347643,2828,1335
641,343561,4235,1615
642,342812,3194,1253
643,342208,2799,1549
644,341479,3124,1252
645,340389,2779,1381
646,339832,3185,1186
647,338517,2745,1318
648,338844,4348,1543
649,337712,3111,1214
650,336730,2755,1319
651,335566,2843,1236
652,334186,2739,1185
653,333280,2721,1376
654,331994,2971,1218
655,332723,4324,1335
656,331360,2913,1188
657,330524,2718,1358
658,329900,2880,1700
659,328897,3228,1237
660,328112,2755,1372
661,326339,2890,1200
662,326077,2726,1300
663,323753,4459,1334
664,322750,2854,1185
665,322063,2707,1314
666,321368,2805,1210
667,320345,2800,1272
668,314824,2834,1264
669,313926,2811,1213
670,314940,4323,1334
671,314274,2933,1766
672,313151,3302,1220
673,312048,2754,1305
674,311172,2825,1239
675,309992,2757,1195
676,308624,2731,1190
677,310146,5517,1301
678,308787,2848,1252
679,307402,2832,1216
680,305604,2746,1178
681,304414,2730,1187
682,302936,2720,1191
683,301693,2737,1181
684,301873,2696,1192
685,300698,3985,1204
686,300076,2974,1206
687,299054,2721,1196
688,298277,2705,1182
689,297226,2724,1217
690,295932,2764,1203
691,293995,2725,1212
692,292150,4042,1221
693,280518,2778,1251
694,274914,2806,1401
695,272268,2928,1269
696,268041,2779,1192
697,265470,2716,1172
698,261433,2726,1177
699,259548,4109,1200
700,256274,2755,1192
701,254332,2714,1213
702,250940,2704,1174
703,249031,2667,1183
704,245445,2705,1206
705,242374,2712,1226
706,244172,2767,1230
707,241274,8499,1249
708,238482,2841,1210
709,235639,2732,1245
710,233593,2769,1211
711,231287,2744,1282
712,229186,2828,1330
713,226649,2904,1340
714,225754,4456,1566
715,223560,3141,1309
716,219832,2818,1247
717,217625,2782,1322
718,214837,2858,1361
719,212760,2883,1262
720,205347,2787,1239
721,204557,4007,1243
722,202180,2812,1239
723,200244,2788,1350
724,197851,2884,1280
725,195614,2770,1261
726,193429,2781,1295
727,191326,2811,1383
728,190792,2902,1265
729,189131,4386,1496
730,186660,3040,1284
731,192807,2798,10155
732,192235,11801,3312
733,191501,4881,1443
734,190318,2981,1260
735,188894,2833,1320
736,189248,4550,1296
737,188061,2873,1308
738,186764,2835,1307
739,185530,2837,1223
740,184335,2724,1356
741,183216,2886,1234
742,182277,3017,1232
743,182391,3954,1337
744,181166,2903,1181
745,180123,2710,1251
746,176129,2773,1550
747,174637,3081,1206
748,171606,2735,1504
749,170244,3023,1241
750,170151,2875,1185
751,168808,3817,1337
752,167396,2869,1169
753,166050,2723,1163
754,164509,2698,1256
755,162925,2815,1183
756,161761,2708,1270
757,160727,2809,1163
758,160788,3975,1283
759,159533,2845,1367
760,158078,2884,1161
761,156935,2715,1280
762,155829,2785,1179
763,154497,2727,1174
764,153508,2755,1299
765,154191,4293,1492
766,153268,3067,1265
767,152051,2791,1298
768,150634,2818,1173
769,149296,2708,1181
770,148222,2714,1284
771,147081,2785,1144
772,143585,2668,1333
773,142060,4228,1324
774,140748,3045,1237
775,133117,2752,1153
776,130181,2695,1307
777,126232,2823,1140
778,123618,2659,1364
779,121312,2876,1194
780,119990,3982,1394
781,114738,2958,1243
782,112132,2798,1209
783,109771,2745,1217
784,106990,2732,1188
785,101446,2701,1170
786,96354,2721,1200
787,95298,5097,1225
788,93239,2829,1238
789,89863,2741,1258
790,87587,2771,1271
791,82709,2801,1413
792,80483,2973,1365
793,77490,2950,1452
794,75680,4475,1390
795,73284,2949,1211
796,70537,2787,1331
797,72315,2817,8166
798,69478,9916,1455
799,67299,3013,1260
800,65789,2799,1234
801,65977,2808,1146
802,64429,4517,1215
803,62648,2766,1191
804,61111,2723,1341
805,58159,2843,1196
806,56867,2715,1227
807,55075,2770,1265
808,53463,2804,1227
809,53888,4363,1386
810,52553,2971,1466
811,51242,2991,1541
812,45186,3083,1475
813,27408,2986,1506
814,23766,3075,1279
815,21646,2857,1492
816,21314,4385,1424
817,19130,2996,1315
818,16618,2835,1471
819,14272,2970,1397
820,12487,2925,1552
821,10643,3065,1826
822,9241,3421,2419
823,9838,4008,2906
824,32361,5695,28289
825,22031,33384,4173
826,9570,8098,3324
827,8426,6272,3134
828,7681,4872,3008
829,6857,4561,2735
830,37897,4299,32444
831,38208,45550,6573
832,22996,9521,1768
833,20355,3716,1432
834,18136,3004,1840
835,11473,4071,1543
836,10468,2999,4007
837,9664,5515,2596
838,7977,5783,2708
839,6676,4220,2513
840,12378,4016,8818
841,10128,11288,2737
842,24641,4265,20999
843,35823,25588,23044
844,35893,27874,24016
845,15957,28775,2522
846,12182,6813,1533
847,10435,3103,1480
848,9977,2992,2856
849,11157,4749,3618
850,12570,6183,4821
851,11290,7303,1551
852,10200,3014,1903
853,9621,5103,1539
854,8708,3044,2181
855,8702,3752,3028
856,6844,4503,2545
857,30317,3998,25199
858,22653,33411,2728
859,17408,4706,1446
860,17364,6017,1576
861,15764,3144,1336
862,11888,2815,1496
863,9612,2972,1464
864,14372,2946,8121
865,12700,9622,1447
866,10845,2940,1482
867,10619,3001,2263
868,10278,5260,2969
869,7953,4487,2661
870,6412,4128,2529
871,37855,4024,33616
872,22245,40239,2906
873,18980,6131,1872
874,16118,3491,1351
875,16891,5208,1500
876,15111,2972,1358
877,13047,2846,1287
878,11242,2775,1501
879,10010,2947,2198
880,8979,3720,2787
881,29716,4293,25762
882,23685,33771,2975
883,19798,5845,1645
884,17377,3324,1304
885,15611,2775,1475
886,14111,2991,1622
887,12118,3103,1204
888,9819,2639,1385
889,12240,2832,3953
890,11494,6928,2669
891,9236,4155,5198
892,6808,6768,2611
893,29104,4104,24019
894,21750,31986,2801
895,18270,4890,1905
896,16073,3563,1269
897,20236,8378,1506
898,14656,2986,1388
899,12358,2816,1272
900,10794,2704,1368
901,15100,2851,7419
902,13374,9021,1463
903,11468,2914,1447
904,9488,4432,1376
905,8497,2853,2312
906,8673,3782,3026
907,6819,4533,2516
908,8733,3976,5438
909,6958,7008,2548
910,11643,4037,7870
911,10289,10361,1806
912,8856,5006,2749
913,8242,4212,2643
914,6649,4107,2662
915,23361,4131,19906
916,14350,24498,2836
917,10726,5681,1977
918,10855,4219,3292
919,9917,6477,2422
920,8650,3940,2819
921,7164,4306,2570
922,11599,4056,7695
923,28470,10165,21344
924,14392,26079,3730
925,10950,6907,2647
926,10889,6496,2927
927,9059,4485,2428
928,8053,3937,2735
929,6682,4190,2501
930,31116,3964,26617
931,22523,33483,2878
932,18183,4869,1465
933,18453,5798,1298
934,19608,2913,3826
935,19308,5346,2470
936,32246,3942,25013
937,21125,31755,2681
938,17078,4762,1422
939,14696,2984,1332
940,15279,2793,1297
941,13518,5070,1491
942,11478,2969,1383
943,9556,2825,1352
944,8861,2824,2434
945,8310,3923,2714
946,28223,4154,24287
947,19923,30246,2963
948,20260,11628,2477
949,19033,5421,1596
950,17409,3250,1748
951,15958,3265,1237
952,14305,2806,1475
953,9482,2908,2089
954,8911,3559,3086
955,8846,6343,2745
956,7645,4304,2609
957,6621,4055,2488
958,10642,3992,7571
959,7814,9187,2686
960,6356,4242,2521
961,9465,4094,6299
962,11751,8005,5643
963,8384,9033,2725
964,6863,4205,2638
965,24945,4101,20890
966,15054,25627,2504
967,10086,4527,1825
968,9187,3356,2242
969,8207,3759,2767
970,8596,6177,2533
971,7527,4098,2721
972,6663,4214,2544
973,23788,4087,19721
974,14414,24418,2822
975,10662,5206,2883
976,8727,4437,2665
977,8381,5891,2502
978,26723,4064,21185
979,14341,25825,2712
980,10181,4882,1647
981,9287,3182,2314
982,9165,4213,3100
983,7477,4649,2624
984,8425,4145,2512
985,7691,5786,2680
986,6804,4185,2638
987,11911,4139,8315
988,9984,10892,2602
989,8126,4201,2653
990,11872,4289,7653
991,8783,10101,2851
992,8966,6018,2871
993,7456,4393,2584
994,11789,4131,7498
995,9136,9976,2859
996,11110,4351,6118
997,14532,7578,7125
998,8840,9472,2826
999,8470,5749,2783
1000,6989,4250,2532
1001,23492,4015,19623
1002,14655,24199,2657
1003,11442,4921,2746
1004,9325,4327,2718
1005,7803,4182,2466
1006,27053,3948,19694
1007,16990,27362,2627
1008,13044,4910,3461
1009,10612,5007,2287
1010,9153,3710,2515
1011,7270,3980,2368
1012,11085,3858,7259
1013,8854,9709,2635
1014,8531,5598,2250
1015,7822,3716,2707
1016,6166,4173,2361
1017,23722,3788,20209
1018,14349,24763,2483
1019,10338,4574,2551
1020,9575,4101,2733
1021,9842,5842,2756
1022,8076,4251,2456
1023,9441,3926,6193
1024,11858,7709,9839
1025,9034,12797,2594
1026,8045,4323,2822
1027,13074,4327,7012
1028,10913,10880,3374
1029,9326,4814,2326
1030,8797,4028,2262
1031,11070,3725,7347
1032,8811,9831,2405
1033,7913,3853,2766
1034,6681,4249,2614
1035,7590,5612,2556
1036,23927,4027,19285
1037,14193,24010,2778
1038,10677,6108,1680
1039,9150,3191,2093
1040,8517,3548,2676
1041,11836,4194,7432
1042,11420,11475,3413
1043,10187,4928,2836
1044,9580,4347,2409
1045,8885,3836,2481
