count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,ts_emit_ns,success
303,127808,0,127808,127808,0,0,1785319624904130204,1
304,154683,0,154683,154683,0,0,1785319624905139130,0
305,200025,0,200025,200025,0,0,1785319624906149135,1
306,1328828,0,1328828,1328828,0,0,1785319624907161603,1
307,312725,0,312725,312725,0,0,1785319624908177842,0
308,1195149,0,1195149,1195149,0,0,1785319624909186379,0
309,179168,0,179168,179168,0,0,1785319624910202477,0
310,600958,0,600958,600958,0,0,1785319624911210031,1
311,282145,0,282145,282145,0,0,1785319624912220134,1
312,815883,0,815883,815883,0,0,1785319624913228387,1
313,2437826,0,2437826,2437826,0,0,1785319624914245370,0
314,1426877,0,1426877,1426877,0,0,1785319624915256458,1
315,418396,0,418396,418396,0,0,1785319624916264991,1
316,1286799,0,1286799,1286799,0,0,1785319624917271812,0
317,276632,0,276632,276632,0,0,1785319624918282029,1
318,2150083,0,2150083,2150083,0,0,1785319624919290248,0
319,1139510,0,1139510,1139510,0,0,1785319624920300866,0
320,130839,0,130839,130839,0,0,1785319624921309576,1
321,374918,0,374918,374918,0,0,1785319624922333003,0
322,293331,0,293331,293331,0,0,1785319624923375819,1
323,594764,0,594764,594764,0,0,1785319624924395292,0
324,448187,0,448187,448187,0,0,1785319624925421087,1
325,494343,0,494343,494343,0,0,1785319624926501020,1
326,322720,0,322720,322720,0,0,1785319624927532135,1
327,391464,0,391464,391464,0,0,1785319624928559850,1
328,263093,0,263093,263093,0,0,1785319624929586593,1
329,364330,0,364330,364330,0,0,1785319624930656262,1
330,374310,0,374310,374310,0,0,1785319624931692819,1
331,294102,0,294102,294102,0,0,1785319624932716536,0
332,560758,0,560758,560758,0,0,1785319624933742586,0
333,1762351,0,1762351,1762351,0,0,1785319624934753212,1
334,753311,0,753311,753311,0,0,1785319624935762289,0
335,1541791,0,1541791,1541791,0,0,1785319624936768929,1
336,532752,0,532752,532752,0,0,1785319624937778066,1
337,651621,0,651621,651621,0,0,1785319624938785097,1
338,623259,0,623259,623259,0,0,1785319624939795148,0
339,266823,0,266823,266823,0,0,1785319624940806192,1
340,547880,0,547880,547880,0,0,1785319624941817441,1
341,239175,0,239175,239175,0,0,1785319624942829022,1
342,280527,0,280527,280527,0,0,1785319624943849106,0
343,1539353,0,1539353,1539353,0,0,1785319624944860641,0
344,530267,0,530267,530267,0,0,1785319624945869796,0
345,2832169,0,2832169,2832169,0,0,1785319624946877963,0
346,1830904,0,1830904,1830904,0,0,1785319624947905943,0
347,823863,0,823863,823863,0,0,1785319624948913025,1
348,374952,0,374952,374952,0,0,1785319624949923381,0
349,306817,0,306817,306817,0,0,1785319624950938424,1
350,491655,0,491655,491655,0,0,1785319624951952332,1
