count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,ts_emit_ns,success
371,1020054,0,1020054,1020054,0,0,1785319651708022673,0
372,166699,0,166699,166699,0,0,1785319651709033190,0
373,379009,0,379009,379009,0,0,1785319651710045160,0
374,194629,0,194629,194629,0,0,1785319651711058598,1
375,293808,0,293808,293808,0,0,1785319651712090521,0
376,172350,0,172350,172350,0,0,1785319651713126836,1
377,170517,0,170517,170517,0,0,1785319651714172059,0
378,179550,0,179550,179550,0,0,1785319651715200919,1
379,464793,0,464793,464793,0,0,1785319651716226062,1
380,284049,0,284049,284049,0,0,1785319651717281172,0
381,230928,0,230928,230928,0,0,1785319651718305475,1
382,313786,0,313786,313786,0,0,1785319651719317298,1
383,167156,0,167156,167156,0,0,1785319651720390308,1
384,816204,0,816204,816204,0,0,1785319651721434646,0
385,242545,0,242545,242545,0,0,1785319651722485257,0
386,310439,0,310439,310439,0,0,1785319651723518022,1
387,709045,0,709045,709045,0,0,1785319651724543683,0
388,113018,0,113018,113018,0,0,1785319651725557127,1
389,189641,0,189641,189641,0,0,1785319651726572034,0
390,270256,0,270256,270256,0,0,1785319651727613643,0
391,487341,0,487341,487341,0,0,1785319651728628591,0
392,841643,0,841643,841643,0,0,1785319651729638487,0
393,170279,0,170279,170279,0,0,1785319651731037336,1
394,319127,0,319127,319127,0,0,1785319651732070209,0
395,284378,0,284378,284378,0,0,1785319651733081935,1
396,249717,0,249717,249717,0,0,1785319651734101044,1
397,448543,0,448543,448543,0,0,1785319651735145663,0
398,185601,0,185601,185601,0,0,1785319651736165230,0
399,457129,0,457129,457129,0,0,1785319651737206804,1
400,108128,0,108128,108128,0,0,1785319651738237281,0
401,165959,0,165959,165959,0,0,1785319651739249176,0
402,194615,0,194615,194615,0,0,1785319651740276806,0
403,281014,0,281014,281014,0,0,1785319651741313368,1
404,204542,0,204542,204542,0,0,1785319651742343862,0
405,132534,0,132534,132534,0,0,1785319651743369599,0
406,595074,0,595074,595074,0,0,1785319651744396797,1
407,154635,0,154635,154635,0,0,1785319651745416438,0
408,203168,0,203168,203168,0,0,1785319651746426969,1
409,381652,0,381652,381652,0,0,1785319651747448913,0
410,470476,0,470476,470476,0,0,1785319651748488549,1
411,237926,0,237926,237926,0,0,1785319651749509823,1
412,441011,0,441011,441011,0,0,1785319651750523173,1
413,208453,0,208453,208453,0,0,1785319651751539875,1
414,294251,0,294251,294251,0,0,1785319651752556579,1
415,573610,0,573610,573610,0,0,1785319651753579103,0
416,604796,0,604796,604796,0,0,1785319651755302455,1
417,407664,0,407664,407664,0,0,1785319651756421290,0
418,338588,0,338588,338588,0,0,1785319651757454072,1
419,170392,0,170392,170392,0,0,1785319651758479137,1
420,287743,0,287743,287743,0,0,1785319651759504777,0
421,342240,0,342240,342240,0,0,1785319651760536160,0
422,437595,0,437595,437595,0,0,1785319651761593448,0
423,248322,0,248322,248322,0,0,1785319651762658061,0
424,139961,0,139961,139961,0,0,1785319651763684522,0
425,702950,0,702950,702950,0,0,1785319651764709535,0
426,398124,0,398124,398124,0,0,1785319651765720565,0
427,168875,0,168875,168875,0,0,1785319651766749144,0
428,747199,0,747199,747199,0,0,1785319651767769758,1
429,491365,0,491365,491365,0,0,1785319651768806295,1
430,362349,0,362349,362349,0,0,1785319651769831708,0
431,358044,0,358044,358044,0,0,1785319651770866799,0
432,190148,0,190148,190148,0,0,1785319651771904774,0
433,623473,0,623473,623473,0,0,1785319651772936947,1
434,474017,0,474017,474017,0,0,1785319651773955637,1
435,993144,0,993144,993144,0,0,1785319651774989330,0
