count_index,s2r_ns,r2a_ns,total_ns,werner
1077,169441,2819,172260,0.875309
1078,187337,1213,188550,0.863331
1079,185043,1342,186385,0.864855
1080,247245,1400,248645,0.824759
1081,145799,1193,146992,0.891465
1082,127254,1068,128322,0.904408
1083,124089,1059,125148,0.906641
1084,119236,1035,120271,0.910079
1085,178540,1179,179719,0.869192
1086,127760,1052,128812,0.904052
1087,127612,1088,128700,0.904156
1088,239065,2097,241162,0.829891
1089,137144,1194,138338,0.897476
1090,134421,1072,135493,0.899378
1091,119534,1054,120588,0.909867
1092,120305,1076,121381,0.909320
1093,118303,999,119302,0.910741
1094,114658,995,115653,0.913337
1095,113682,1028,114710,0.914033
1096,112148,947,113095,0.915130
1097,117363,976,118339,0.911410
1098,112911,956,113867,0.914584
1099,113593,1021,114614,0.914097
1100,113309,998,114307,0.914300
1101,116658,1025,117683,0.911912
1102,117465,1028,118493,0.911337
1103,154946,1486,156432,0.885169
1104,400854,1856,402710,0.735798
1105,191679,1370,193049,0.860457
1106,133943,1171,135114,0.899712
1107,120942,1156,122098,0.908868
1108,114174,1041,115215,0.913682
1109,127623,1136,128759,0.904148
1110,114085,947,115032,0.913746
1111,114212,1039,115251,0.913655
1112,114185,944,115129,0.913674
1113,111290,926,112216,0.915743
1114,197255,1033,198288,0.856785
1115,118385,1070,119455,0.910683
1116,113925,953,114878,0.913860
1117,122918,1036,123954,0.907469
1118,113317,953,114270,0.914294
1119,116372,948,117320,0.912115
1120,114206,1006,115212,0.913659
1121,116067,959,117026,0.912332
1122,116162,1024,117186,0.912265
1123,114763,1004,115767,0.913262
1124,213623,1660,215283,0.846122
1125,203996,1649,205645,0.852373
1126,201978,1585,203563,0.853690
1127,196068,1344,197412,0.857565
1128,251880,1542,253422,0.821870
1129,200266,1408,201674,0.854810
1130,193516,1324,194840,0.859245
1131,159106,7594,166700,0.882325
1132,124690,1119,125809,0.906216
1133,118632,949,119581,0.910508
1134,116469,912,117381,0.912046
1135,126436,962,127398,0.904984
1136,122743,1087,123830,0.907593
1137,112383,930,113313,0.914962
1138,110791,1044,111835,0.916101
1139,120870,1061,121931,0.908919
1140,113277,996,114273,0.914323
1141,113038,1039,114077,0.914493
1142,112804,1161,113965,0.914661
1143,111776,996,112772,0.915396
1144,266178,1154,267332,0.813042
1145,112551,942,113493,0.914841
1146,113299,1000,114299,0.914307
1147,111775,936,112711,0.915396
1148,422385,10547,432932,0.724385
1149,138824,1053,139877,0.896305
1150,116900,953,117853,0.911739
1151,116857,971,117828,0.911770
1152,113551,1034,114585,0.914127
1153,112225,1051,113276,0.915074
1154,112479,928,113407,0.914893
1155,252010,1594,253604,0.821790
1156,254986,1597,256583,0.819942
1157,217704,1726,219430,0.843491
1158,221112,1633,222745,0.841302
1159,219152,1439,220591,0.842560
1160,233719,1554,235273,0.833267
1161,211542,1567,213109,0.847468
1162,225488,1582,227070,0.838501
1163,207959,1581,209540,0.849792
1164,190734,1364,192098,0.861082
1165,209878,1343,211221,0.848547
1166,211260,1470,212730,0.847651
1167,201806,1304,203110,0.853803
1168,199013,1355,200368,0.855631
1169,200260,1341,201601,0.854814
1170,202008,1404,203412,0.853671
1171,201812,1209,203021,0.853799
1172,191444,1168,192612,0.860613
1173,200806,1276,202082,0.854457
1174,258365,1239,259604,0.817851
1175,200492,1286,201778,0.854662
1176,206400,1390,207790,0.850806
1177,209605,1317,210922,0.848724
1178,235691,1252,236943,0.832020
1179,198801,1796,200597,0.855770
1180,233068,1715,234783,0.833680
1181,197003,1494,198497,0.856951
1182,193196,1304,194500,0.859456
1183,197174,1489,198663,0.856838
1184,205469,1240,206709,0.851412
1185,198391,1300,199691,0.856039
1186,198092,1177,199269,0.856236
1187,193513,1258,194771,0.859247
1188,213757,1169,214926,0.846036
1189,195598,1317,196915,0.857874
1190,114341,1502,115843,0.913563
1191,206048,1303,207351,0.851035
1192,215514,1351,216865,0.844902
1193,333041,1449,334490,0.773393
1194,182161,1235,183396,0.866774
1195,136714,1149,137863,0.897776
1196,124521,1061,125582,0.906336
1197,119248,1051,120299,0.910070
1198,118159,1014,119173,0.910844
1199,122547,1015,123562,0.907731
1200,128643,1351,129994,0.903430
1201,273753,1595,275348,0.808416
1202,293597,1741,295338,0.796462
1203,191914,1746,193660,0.860302
1204,182508,1617,184125,0.866542
1205,207145,1651,208796,0.850321
1206,411859,1767,413626,0.729934
1207,211732,1727,213459,0.847345
1208,197084,1517,198601,0.856897
1209,194189,1376,195565,0.858802
1210,243881,1579,245460,0.826865
1211,193828,1446,195274,0.859040
1212,197852,1484,199336,0.856393
1213,206806,1538,208344,0.850542
1214,196419,1392,197811,0.857334
1215,200551,1433,201984,0.854624
1216,204386,1607,205993,0.852118
1217,193318,1395,194713,0.859376
1218,206061,1354,207415,0.851027
1219,199852,1383,201235,0.855082
1220,204676,1445,206121,0.851929
1221,183937,1274,185211,0.865591
1222,219303,1737,221040,0.842463
1223,220643,1398,222041,0.841602
1224,124724,1115,125839,0.906192
1225,122229,1139,123368,0.907957
1226,117841,1092,118933,0.911070
1227,115690,980,116670,0.912601
1228,113883,1064,114947,0.913890
1229,110534,970,111504,0.916285
1230,112913,960,113873,0.914583
1231,113877,964,114841,0.913894
1232,230440,1595,232035,0.835347
1233,276782,1773,278555,0.806576
1234,177024,1319,178343,0.870208
1235,125560,1018,126578,0.905602
1236,124796,1049,125845,0.906142
1237,119325,1035,120360,0.910015
1238,113923,1016,114939,0.913861
1239,117471,1009,118480,0.911333
1240,117294,879,118173,0.911459
1241,113852,949,114801,0.913912
1242,117888,945,118833,0.911036
1243,114994,1008,116002,0.913097
1244,112104,963,113067,0.915161
1245,116581,954,117535,0.911966
1246,116843,989,117832,0.911780
1247,112222,969,113191,0.915077
1248,112567,945,113512,0.914830
1249,117367,1018,118385,0.911407
1250,114926,939,115865,0.913146
1251,114380,923,115303,0.913535
1252,113820,924,114744,0.913935
1253,113207,994,114201,0.914373
1254,112400,930,113330,0.914949
1255,114265,907,115172,0.913617
1256,115218,982,116200,0.912937
1257,113853,1028,114881,0.913911
1258,112061,951,113012,0.915192
1259,111679,871,112550,0.915465
1260,223173,1153,224326,0.839981
1261,114059,933,114992,0.913764
1262,113685,932,114617,0.914031
1263,117161,1052,118213,0.911554
1264,115100,973,116073,0.913022
1265,113887,921,114808,0.913887
1266,113250,896,114146,0.914342
1267,114326,913,115239,0.913574
1268,113446,1009,114455,0.914202
1269,110727,905,111632,0.916146
1270,112509,986,113495,0.914871
1271,112719,923,113642,0.914721
1272,249053,1535,250588,0.823631
1273,204968,1464,206432,0.851739
1274,186989,1492,188481,0.863562
1275,211655,1477,213132,0.847395
1276,196183,1385,197568,0.857489
1277,201935,1314,203249,0.853718
1278,288203,12659,300862,0.799688
1279,392575,1619,394194,0.740253
1280,254645,1506,256151,0.820153
1281,196067,1851,197918,0.857566
1282,221514,1400,222914,0.841044
1283,155124,1381,156505,0.885047
1284,272468,1538,274006,0.809198
1285,138967,1212,140179,0.896205
1286,220039,1793,221832,0.841990
1287,259613,1745,261358,0.817080
1288,212124,4668,216792,0.847092
1289,200136,1576,201712,0.854896
1290,220073,1545,221618,0.841968
1291,194957,1637,196594,0.858296
1292,182530,1279,183809,0.866528
1293,227102,1698,228800,0.837472
1294,240003,1753,241756,0.829300
1295,262323,1736,264059,0.815410
1296,367560,1732,369292,0.753937
1297,229753,1615,231368,0.835784
1298,192741,1559,194300,0.859756
1299,199489,1574,201063,0.855319
1300,199688,1252,200940,0.855189
1301,217817,1651,219468,0.843418
1302,194207,1507,195714,0.858790
1303,187072,1348,188420,0.863507
1304,209903,1537,211440,0.848530
1305,216310,1746,218056,0.844388
1306,239065,1801,240866,0.829891
1307,195945,1478,197423,0.857646
1308,191720,1313,193033,0.860430
1309,195096,1546,196642,0.858205
1310,192491,1424,193915,0.859921
1311,191165,1282,192447,0.860797
1312,187063,1311,188374,0.863513
1313,174265,1808,176073,0.872059
1314,124100,1212,125312,0.906633
1315,133351,1102,134453,0.900126
1316,120672,1101,121773,0.909060
1317,119556,1270,120826,0.909851
1318,167299,1509,168808,0.876757
1319,161381,1519,162900,0.880774
1320,157239,1439,158678,0.883600
1321,155506,1393,156899,0.884786
1322,409708,1798,411506,0.731075
1323,338772,1741,340513,0.770116
1324,213723,1604,215327,0.846058
1325,325054,1514,326568,0.777991
1326,195069,1691,196760,0.858222
1327,194446,1471,195917,0.858633
1328,200780,1427,202207,0.854474
1329,322400,1315,323715,0.779527
1330,201917,1314,203231,0.853730
1331,197291,1334,198625,0.856761
1332,194878,1361,196239,0.858348
1333,195367,1246,196613,0.858026
1334,206053,1371,207424,0.851032
1335,202108,1407,203515,0.853605
1336,198896,1267,200163,0.855708
1337,192264,1459,193723,0.860071
1338,190166,1219,191385,0.861457
1339,137050,1151,138201,0.897541
