count_idx,delay_ns,loop_gap_ns,recv_block_ns
505,4862,2987,2429
506,9246,3448,9295
507,6970,10352,5864
508,9484,6926,8438
509,7301,10011,1518
510,6108,2534,2042
511,5197,3138,2445
512,21150,3439,24220
513,11274,27245,4356
514,8215,6474,1890
515,7763,3606,2449
516,6894,4098,2506
517,5212,3585,2438
518,8199,3475,7133
519,6872,8720,2189
520,5564,3197,2612
521,10452,3600,8760
522,5440,10382,2618
523,11467,3632,9823
524,7074,11529,1440
525,6202,2398,2388
526,4807,3414,2360
527,7339,3348,6439
528,6642,8050,2703
529,4891,3718,2332
530,7161,3381,6308
531,6238,7863,2489
532,4854,3464,2346
533,7407,3340,6277
534,6326,7852,2566
535,4668,3601,2470
536,5364,5216,2348
537,29744,4319,28570
538,30636,44486,3858
539,28275,6049,1410
540,26021,2737,1209
541,24007,2227,1438
542,21836,2420,1276
543,19677,2245,1139
544,17738,2126,1240
545,15198,2237,1156
546,14159,2126,1298
547,11652,3558,1189
548,9354,2172,1181
549,16957,2154,10900
550,13118,11951,1154
551,11050,2132,1371
552,6564,2352,2928
553,5375,3934,2489
554,10799,3499,9771
555,7876,12576,1485
556,6979,2513,2507
557,5951,3502,2408
558,3772,3425,2240
559,7915,3266,7225
560,6755,8813,2298
561,5633,3298,2568
562,8909,3563,7099
563,12459,8656,9392
564,7852,12353,1460
565,5888,2457,2432
566,4902,3440,2483
567,7880,3506,6929
568,6495,8500,1899
569,5252,2905,2505
570,7681,3503,6341
571,6651,7921,2534
572,5911,4670,2283
573,4174,3333,2285
574,7170,3292,6689
575,6124,8226,2561
576,4158,3564,2188
577,6984,3206,6308
578,6394,7852,2629
579,7822,3647,6666
580,7507,8384,1972
581,6181,3948,2414
582,4776,3413,2434
583,7925,3451,6902
584,6658,8468,2066
585,5540,3047,2561
586,3857,3582,2242
587,21382,3231,21096
588,11067,24147,3730
589,9140,7064,3891
590,7898,5734,1887
591,7360,3274,2483
592,6114,3559,2350
593,10563,3349,8914
594,7025,10613,2768
595,5041,3817,2443
596,9825,3431,8748
597,11421,11041,2138
598,10256,5668,1870
599,7987,2910,1308
600,6862,2288,2232
601,5769,3216,2297
602,9056,3309,7369
603,6936,8942,2379
604,4686,3406,2473
605,7750,3467,6686
606,7092,9438,2448
607,10465,3491,8604
608,21430,10156,26602
609,21383,29604,23120
610,20775,26266,23103
611,21117,26228,23462
612,21006,26563,22529
613,53853,25688,55187
614,35361,58697,2920
615,30902,6011,1251
616,27885,2251,1244
617,25814,2221,1132
618,22844,2107,1089
619,20143,2046,1071
620,21623,2427,4426
621,9231,5463,2004
622,5190,3014,2369
623,10596,4754,9014
624,20965,10624,25099
625,23457,28128,25663
626,21192,28944,20654
627,10440,23869,3849
628,7114,5163,1971
629,4743,2997,2283
630,26166,3292,34781
631,22196,39754,5319
632,12767,11385,3913
633,8579,5390,2368
634,6433,3451,2326
635,8269,3321,8097
636,27822,9716,39319
637,8494,43716,3851
638,5597,6155,2577
639,8502,3661,7216
640,7259,10878,2398
641,5512,3453,2571
642,9472,3584,7865
643,7055,9428,1491
644,5847,2537,1851
645,4854,2832,2493
646,8894,3488,7648
647,7033,9313,1465
648,6236,2472,2294
649,8341,6018,2898
650,6023,3941,1805
651,5585,2806,2569
652,10910,3569,9610
653,7196,11220,1718
654,5911,2671,2285
655,4204,3321,2241
656,6868,3234,6544
657,6759,9253,2150
658,4826,3181,2342
659,7266,3379,6559
660,6187,8107,2564
661,4510,3567,2418
662,20581,3454,21613
663,21388,24623,23464
664,30192,26606,34093
665,10891,39357,3060
666,11121,8088,2098
667,9555,3652,1399
668,8071,2714,1369
669,7433,2388,2849
670,6156,3850,2297
671,3971,3344,2307
672,7565,3267,6866
673,6829,8455,2472
