sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns
31,1782212051988753427,1782212070719180765,1782212070719247925,1782212051989197078,18730427338,-18730050847,-18730239093,188245,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
32,1782212051989223808,1782212070719643014,1782212070719714305,1782212051989663699,18730419206,-18730050606,-18730234906,184300,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
33,1782212051989690029,1782212070720109305,1782212070720141574,1782212051990085361,18730419276,-18730056213,-18730237745,181531,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
34,1782212051990111160,1782212070720530965,1782212070720598745,1782212051990548492,18730419805,-18730050253,-18730235029,184776,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
35,1782212051990576051,1782212070720996034,1782212070721063434,1782212051991012162,18730419983,-18730051272,-18730235628,184355,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
36,1782212051991039852,1782212070721459914,1782212070721501065,1782212051991445615,18730420062,-18730055450,-18730237756,182306,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
37,1782212051991472714,1782212070721892794,1782212070721922145,1782212051991864017,18730420080,-18730058128,-18730239104,180976,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
38,1782212051991890666,1782212070722312514,1782212070722379605,1782212051992329007,18730421848,-18730050598,-18730236223,185625,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
39,1782212051992354787,1782212070722780585,1782212070722848074,1782212051992800178,18730425798,-18730047896,-18730236847,188951,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
40,1782212051992827328,1782212070723248105,1782212070723320665,1782212051993271499,18730420777,-18730049166,-18730234972,185805,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
41,1782212051993298098,1782212070723718834,1782212070723786005,1782212051993735090,18730420736,-18730050915,-18730235826,184910,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
42,1782212051993762799,1782212070724182145,1782212070724250305,1782212051994198720,18730419346,-18730051585,-18730235466,183880,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
43,1782212051994224630,1782212070724666134,1782212070724737934,1782212051994687692,18730441504,-18730050242,-18730245873,195631,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
44,1782212051994714891,1782212070725159214,1782212070725198965,1782212051995142633,18730444323,-18730056332,-18730250328,193995,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
45,1782212051995172832,1782212070725610054,1782212070725644094,1782212051995588144,18730437222,-18730055950,-18730246586,190636,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
46,1782212051995616443,1782212070726057525,1782212070726128574,1782212051996077184,18730441082,-18730051390,-18730246236,194846,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
47,1782212051996103814,1782212070726562365,1782212070726633805,1782212051996584034,18730458551,-18730049771,-18730254161,204390,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
48,1782212051996611783,1782212070727068445,1782212070727162625,1782212051997111833,18730456662,-18730050792,-18730253727,202935,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
49,1782212051997138533,1782212070727587934,1782212070727659385,1782212051997609555,18730449401,-18730049830,-18730249616,199785,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
50,1782212051997636544,1782212070728073225,1782212070728140725,1782212051998089435,18730436681,-18730051290,-18730243986,192695,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
51,1782212051998116394,1782212070728571285,1782212070728608414,1782212051998551556,18730454891,-18730056858,-18730255875,199016,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
52,1782212051998578785,1782212070729000514,1782212070729034465,1782212051998978887,18730421729,-18730055578,-18730238654,183075,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
53,1782212051999005537,1782212070729425485,1782212070729499665,1782212051999449058,18730419948,-18730050607,-18730235278,184670,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
54,1782212051999475988,1782212070729918094,1782212070729990114,1782212051999938568,18730442106,-18730051546,-18730246826,195280,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
55,1782212051999964568,1782212070730391265,1782212070730472154,1782212052000424800,18730426697,-18730047354,-18730237026,189671,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
56,1782212052000452489,1782212070730893305,1782212070730964505,1782212052000913840,18730440816,-18730050665,-18730245741,195075,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
57,1782212052000940860,1782212070731362165,1782212070731394845,1782212052001338172,18730421305,-18730056673,-18730238989,182316,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
58,1782212052001365151,1782212070731806274,1782212070731877674,1782212052001826322,18730441123,-18730051352,-18730246238,194885,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
59,1782212052001853521,1782212070732294454,1782212070732334385,1782212052002278433,18730440933,-18730055952,-18730248443,192490,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
60,1782212052002305243,1782212070732745685,1782212070732817394,1782212052002765643,18730440442,-18730051751,-18730246097,194345,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
61,1782212052002794243,1782212070733241165,1782212070733312225,1782212052003259725,18730446922,-18730052500,-18730249711,197211,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
62,1782212052003285824,1782212070733725265,1782212070733797105,1782212052003745255,18730439441,-18730051850,-18730245646,193795,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
63,1782212052003772264,1782212070734220245,1782212070734295014,1782212052004243495,18730447981,-18730051519,-18730249750,198231,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
64,1782212052004270015,1782212070734710054,1782212070734746634,1782212052004690406,18730440039,-18730056228,-18730248134,191905,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
65,1782212052004718416,1782212070735161294,1782212070735232645,1782212052005181617,18730442878,-18730051028,-18730246953,195925,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
66,1782212052005207506,1782212070735650934,1782212070735726745,1782212052005675747,18730443428,-18730050998,-18730247213,196215,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
67,1782212052005702826,1782212070736144225,1782212070736215365,1782212052006163607,18730441399,-18730051758,-18730246579,194820,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
68,1782212052006189227,1782212070736629645,1782212070736701245,1782212052006650859,18730440418,-18730050386,-18730245402,195016,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
69,1782212052006680088,1782212070737122034,1782212070737192765,1782212052007141829,18730441946,-18730050936,-18730246441,195505,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
70,1782212052007171898,1782212070737612814,1782212070737653974,1782212052007597550,18730440916,-18730056424,-18730248670,192246,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
71,1782212052007624539,1782212070738071694,1782212070738105565,1782212052008051331,18730447155,-18730054234,-18730250695,196460,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
72,1782212052008077980,1782212070738502245,1782212070738569634,1782212052008517421,18730424265,-18730052213,-18730238239,186026,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
73,1782212052008544511,1782212070738985594,1782212070739143014,1782212052009092790,18730441083,-18730050224,-18730245654,195429,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
74,1782212052009119699,1782212070739562034,1782212070739633734,1782212052009582741,18730442335,-18730050993,-18730246664,195671,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
75,1782212052009609911,1782212070740051114,1782212070740126234,1782212052010075341,18730441203,-18730050893,-18730246048,195155,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
76,1782212052010102561,1782212070740543974,1782212070740615025,1782212052010563932,18730441413,-18730051093,-18730246253,195160,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
77,1782212052010591601,1782212070741032405,1782212070741104154,1782212052011051712,18730440804,-18730052442,-18730246623,194181,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
78,1782212052011079111,1782212070741511465,1782212070741545545,1782212052011489543,18730432354,-18730056002,-18730244178,188176,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
79,1782212052011516043,1782212070741964965,1782212070742036725,1782212052011983964,18730448922,-18730052761,-18730250842,198080,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
80,1782212052012011433,1782212070742432754,1782212070742507554,1782212052012457645,18730421321,-18730049909,-18730235615,185706,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
81,1782212052012484255,1782212070742925634,1782212070742997934,1782212052012945545,18730441379,-18730052389,-18730246884,194495,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
82,1782212052012971805,1782212070743393974,1782212070743431185,1782212052013373497,18730422169,-18730057688,-18730239929,182240,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
83,1782212052013399227,1782212070743844734,1782212070743916245,1782212052013867687,18730445507,-18730048558,-18730247033,198474,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
84,1782212052013895777,1782212070744317594,1782212070744350954,1782212052014294839,18730421817,-18730056115,-18730238966,182851,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
85,1782212052014320498,1782212070744761405,1782212070744832965,1782212052014782999,18730440907,-18730049966,-18730245437,195470,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
86,1782212052014811469,1782212070745252265,1782212070745323614,1782212052015271680,18730440796,-18730051934,-18730246365,194431,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
87,1782212052015297940,1782212070745744305,1782212070745819705,1782212052015769411,18730446365,-18730050294,-18730248330,198035,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
88,1782212052015796270,1782212070746236594,1782212070746307754,1782212052016256451,18730440324,-18730051303,-18730245814,194510,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
89,1782212052016286380,1782212070746727905,1782212070746799085,1782212052016749081,18730441525,-18730050004,-18730245765,195760,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
90,1782212052016776351,1782212070747218394,1782212070747289925,1782212052017237872,18730442043,-18730052053,-18730247048,194995,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
91,1782212052017264131,1782212070747706274,1782212070747743525,1782212052017688413,18730442143,-18730055112,-18730248628,193515,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
92,1782212052017716572,1782212070748157654,1782212070748233074,1782212052018182373,18730441082,-18730050701,-18730245892,195190,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
93,1782212052018209862,1782212070748651565,1782212070748723125,1782212052018672584,18730441703,-18730050541,-18730246122,195581,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
