count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
50,16684,1781174216475231188,1781174216475231188,1781174216475275549,1781174216475275549,1781174216475247872,1781174216475247872,2,2,0,1.000000000000,1.000000000000,1.000000000000
51,15488,1781174216475363259,1781174216475363259,1781174216475401553,1781174216475401553,1781174216475378747,1781174216475378747,2,1,3,1.000000000000,1.000000000000,1.000000000000
52,15445,1781174216475489474,1781174216475489474,1781174216475528027,1781174216475528027,1781174216475504919,1781174216475504919,3,3,0,1.000000000000,1.000000000000,1.000000000000
53,15433,1781174216475615786,1781174216475615786,1781174216475654356,1781174216475654356,1781174216475631219,1781174216475631219,0,1,1,1.000000000000,1.000000000000,1.000000000000
54,16362,1781174216475742310,1781174216475742310,1781174216475782011,1781174216475782011,1781174216475758672,1781174216475758672,1,0,1,1.000000000000,1.000000000000,1.000000000000
55,15595,1781174216475869606,1781174216475869606,1781174216475908064,1781174216475908064,1781174216475885201,1781174216475885201,2,1,3,1.000000000000,1.000000000000,1.000000000000
56,15679,1781174216475996040,1781174216475996040,1781174216476034811,1781174216476034811,1781174216476011719,1781174216476011719,0,2,2,1.000000000000,1.000000000000,1.000000000000
57,14327,1781174216476122534,1781174216476122534,1781174216476158177,1781174216476158177,1781174216476136861,1781174216476136861,1,0,1,1.000000000000,1.000000000000,1.000000000000
58,14242,1781174216476248058,1781174216476248058,1781174216476283556,1781174216476283556,1781174216476262300,1781174216476262300,1,2,3,1.000000000000,1.000000000000,1.000000000000
59,14260,1781174216476372234,1781174216476372234,1781174216476407555,1781174216476407555,1781174216476386494,1781174216476386494,3,2,1,1.000000000000,1.000000000000,1.000000000000
60,14116,1781174216476496403,1781174216476496403,1781174216476531605,1781174216476531605,1781174216476510519,1781174216476510519,3,0,3,1.000000000000,1.000000000000,1.000000000000
61,13952,1781174216476620501,1781174216476620501,1781174216476655410,1781174216476655410,1781174216476634453,1781174216476634453,1,3,2,1.000000000000,1.000000000000,1.000000000000
62,26468,1781174216476744268,1781174216476744268,1781174216476790942,1781174216476790942,1781174216476770736,1781174216476770736,2,1,3,1.000000000000,1.000000000000,1.000000000000
63,14337,1781174216476880838,1781174216476880838,1781174216476916294,1781174216476916294,1781174216476895175,1781174216476895175,0,0,0,1.000000000000,1.000000000000,1.000000000000
64,14143,1781174216477005108,1781174216477005108,1781174216477040252,1781174216477040252,1781174216477019251,1781174216477019251,1,0,1,1.000000000000,1.000000000000,1.000000000000
65,14099,1781174216477129154,1781174216477129154,1781174216477164022,1781174216477164022,1781174216477143253,1781174216477143253,1,2,3,1.000000000000,1.000000000000,1.000000000000
66,13974,1781174216477253163,1781174216477253163,1781174216477287981,1781174216477287981,1781174216477267137,1781174216477267137,2,2,0,1.000000000000,1.000000000000,1.000000000000
67,14124,1781174216477377025,1781174216477377025,1781174216477412163,1781174216477412163,1781174216477391149,1781174216477391149,2,1,3,1.000000000000,1.000000000000,1.000000000000
68,14059,1781174216477501087,1781174216477501087,1781174216477536062,1781174216477536062,1781174216477515146,1781174216477515146,0,1,1,1.000000000000,1.000000000000,1.000000000000
69,14313,1781174216477626423,1781174216477626423,1781174216477661589,1781174216477661589,1781174216477640736,1781174216477640736,2,1,3,1.000000000000,1.000000000000,1.000000000000
70,14181,1781174216477750907,1781174216477750907,1781174216477785986,1781174216477785986,1781174216477765088,1781174216477765088,3,0,3,1.000000000000,1.000000000000,1.000000000000
71,14090,1781174216477874977,1781174216477874977,1781174216477946564,1781174216477946564,1781174216477889067,1781174216477889067,3,0,3,1.000000000000,1.000000000000,1.000000000000
72,14943,1781174216477998647,1781174216477998647,1781174216478056880,1781174216478056880,1781174216478013590,1781174216478013590,3,0,3,1.000000000000,1.000000000000,1.000000000000
73,14726,1781174216478123938,1781174216478123938,1781174216478163046,1781174216478163046,1781174216478138664,1781174216478138664,1,0,1,1.000000000000,1.000000000000,1.000000000000
74,14372,1781174216478248733,1781174216478248733,1781174216478321829,1781174216478321829,1781174216478263105,1781174216478263105,2,0,2,1.000000000000,1.000000000000,1.000000000000
75,5927,1781174216478372675,1781174216478372675,1781174216478428175,1781174216478428175,1781174216478378602,1781174216478378602,2,3,1,1.000000000000,1.000000000000,1.000000000000
76,14468,1781174216478488849,1781174216478488849,1781174216478534540,1781174216478534540,1781174216478503317,1781174216478503317,1,1,0,1.000000000000,1.000000000000,1.000000000000
77,14276,1781174216478613385,1781174216478613385,1781174216478664308,1781174216478664308,1781174216478627661,1781174216478627661,2,2,0,1.000000000000,1.000000000000,1.000000000000
78,14320,1781174216478737612,1781174216478737612,1781174216478783570,1781174216478783570,1781174216478751932,1781174216478751932,1,1,0,1.000000000000,1.000000000000,1.000000000000
79,14870,1781174216478862384,1781174216478862384,1781174216478921238,1781174216478921238,1781174216478877254,1781174216478877254,3,0,3,1.000000000000,1.000000000000,1.000000000000
80,14724,1781174216478989873,1781174216478989873,1781174216479048001,1781174216479048001,1781174216479004597,1781174216479004597,0,3,3,1.000000000000,1.000000000000,1.000000000000
81,14300,1781174216479114018,1781174216479114018,1781174216479154566,1781174216479154566,1781174216479128318,1781174216479128318,3,3,0,1.000000000000,1.000000000000,1.000000000000
82,14457,1781174216479237791,1781174216479237791,1781174216479279933,1781174216479279933,1781174216479252248,1781174216479252248,2,2,0,1.000000000000,1.000000000000,1.000000000000
83,6076,1781174216479362153,1781174216479362153,1781174216479390481,1781174216479390481,1781174216479368229,1781174216479368229,2,3,1,1.000000000000,1.000000000000,1.000000000000
84,14765,1781174216479479299,1781174216479479299,1781174216479527335,1781174216479527335,1781174216479494064,1781174216479494064,2,1,3,1.000000000000,1.000000000000,1.000000000000
85,14441,1781174216479604101,1781174216479604101,1781174216479643341,1781174216479643341,1781174216479618542,1781174216479618542,3,3,0,1.000000000000,1.000000000000,1.000000000000
86,23814,1781174216479730185,1781174216479730185,1781174216479800053,1781174216479800053,1781174216479753999,1781174216479753999,2,3,1,1.000000000000,1.000000000000,1.000000000000
87,35261,1781174216479866110,1781174216479866110,1781174216479929226,1781174216479929226,1781174216479901371,1781174216479901371,3,2,1,1.000000000000,1.000000000000,1.000000000000
88,18115,1781174216480018047,1781174216480018047,1781174216480059442,1781174216480059442,1781174216480036162,1781174216480036162,3,2,1,1.000000000000,1.000000000000,1.000000000000
89,14066,1781174216480146515,1781174216480146515,1781174216480182246,1781174216480182246,1781174216480160581,1781174216480160581,3,2,1,1.000000000000,1.000000000000,1.000000000000
90,14009,1781174216480270732,1781174216480270732,1781174216480305839,1781174216480305839,1781174216480284741,1781174216480284741,2,1,3,1.000000000000,1.000000000000,1.000000000000
91,13990,1781174216480394646,1781174216480394646,1781174216480429750,1781174216480429750,1781174216480408636,1781174216480408636,1,3,2,1.000000000000,1.000000000000,1.000000000000
