count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
124,16196,1781174201749994875,1781174201749994875,1781174201750037652,1781174201750037652,1781174201750011071,1781174201750011071,2,3,1,1.000000000000,1.000000000000,1.000000000000
125,13578,1781174201750121180,1781174201750121180,1781174201750154727,1781174201750154727,1781174201750134758,1781174201750134758,0,1,1,1.000000000000,1.000000000000,1.000000000000
126,14127,1781174201750244762,1781174201750244762,1781174201750278241,1781174201750278241,1781174201750258889,1781174201750258889,0,2,2,1.000000000000,1.000000000000,1.000000000000
127,13849,1781174201750368675,1781174201750368675,1781174201750402352,1781174201750402352,1781174201750382524,1781174201750382524,3,3,0,1.000000000000,1.000000000000,1.000000000000
128,13681,1781174201750492428,1781174201750492428,1781174201750525911,1781174201750525911,1781174201750506109,1781174201750506109,0,1,1,1.000000000000,1.000000000000,1.000000000000
129,14346,1781174201750615870,1781174201750615870,1781174201750644955,1781174201750644955,1781174201750630216,1781174201750630216,1,3,2,1.000000000000,1.000000000000,1.000000000000
130,14268,1781174201750736493,1781174201750736493,1781174201750777873,1781174201750777873,1781174201750750761,1781174201750750761,3,3,0,1.000000000000,1.000000000000,1.000000000000
131,13728,1781174201750860535,1781174201750860535,1781174201750953430,1781174201750953430,1781174201750874263,1781174201750874263,1,0,1,1.000000000000,1.000000000000,1.000000000000
132,10255,1781174201750997032,1781174201750997032,1781174201751055050,1781174201751055050,1781174201751007287,1781174201751007287,1,3,2,1.000000000000,1.000000000000,1.000000000000
133,5780,1781174201751109069,1781174201751109069,1781174201751138413,1781174201751138413,1781174201751114849,1781174201751114849,2,3,1,1.000000000000,1.000000000000,1.000000000000
134,13226,1781174201751220671,1781174201751220671,1781174201751266870,1781174201751266870,1781174201751233897,1781174201751233897,0,2,2,1.000000000000,1.000000000000,1.000000000000
135,14197,1781174201751344633,1781174201751344633,1781174201751379760,1781174201751379760,1781174201751358830,1781174201751358830,3,0,3,1.000000000000,1.000000000000,1.000000000000
136,14710,1781174201751468774,1781174201751468774,1781174201751517353,1781174201751517353,1781174201751483484,1781174201751483484,3,2,1,1.000000000000,1.000000000000,1.000000000000
137,13897,1781174201751593811,1781174201751593811,1781174201751664427,1781174201751664427,1781174201751607708,1781174201751607708,2,2,0,1.000000000000,1.000000000000,1.000000000000
138,5868,1781174201751717681,1781174201751717681,1781174201751754447,1781174201751754447,1781174201751723549,1781174201751723549,0,2,2,1.000000000000,1.000000000000,1.000000000000
139,12479,1781174201751825142,1781174201751825142,1781174201751851620,1781174201751851620,1781174201751837621,1781174201751837621,3,2,1,1.000000000000,1.000000000000,1.000000000000
140,5132,1781174201751940120,1781174201751940120,1781174201752057371,1781174201752057371,1781174201751945252,1781174201751945252,1,2,3,1.000000000000,1.000000000000,1.000000000000
141,14795,1781174201752055450,1781174201752055450,1781174201752102239,1781174201752102239,1781174201752070245,1781174201752070245,1,3,2,1.000000000000,1.000000000000,1.000000000000
142,5685,1781174201752172671,1781174201752172671,1781174201752210796,1781174201752210796,1781174201752178356,1781174201752178356,1,2,3,1.000000000000,1.000000000000,1.000000000000
143,14188,1781174201752288740,1781174201752288740,1781174201752370655,1781174201752370655,1781174201752302928,1781174201752302928,2,1,3,1.000000000000,1.000000000000,1.000000000000
144,6243,1781174201752412986,1781174201752412986,1781174201752468720,1781174201752468720,1781174201752419229,1781174201752419229,1,2,3,1.000000000000,1.000000000000,1.000000000000
145,4571,1781174201752520731,1781174201752520731,1781174201752559689,1781174201752559689,1781174201752525302,1781174201752525302,2,2,0,1.000000000000,1.000000000000,1.000000000000
146,14873,1781174201752642665,1781174201752642665,1781174201752765379,1781174201752765379,1781174201752657538,1781174201752657538,2,1,3,1.000000000000,1.000000000000,1.000000000000
147,22210,1781174201752765820,1781174201752765820,1781174201752915397,1781174201752915397,1781174201752788030,1781174201752788030,3,1,2,1.000000000000,1.000000000000,1.000000000000
148,14335,1781174201752892629,1781174201752892629,1781174201752956157,1781174201752956157,1781174201752906964,1781174201752906964,1,3,2,1.000000000000,1.000000000000,1.000000000000
149,14266,1781174201753009288,1781174201753009288,1781174201753045034,1781174201753045034,1781174201753023554,1781174201753023554,0,3,3,1.000000000000,1.000000000000,1.000000000000
150,14505,1781174201753136047,1781174201753136047,1781174201753170719,1781174201753170719,1781174201753150552,1781174201753150552,0,1,1,1.000000000000,1.000000000000,1.000000000000
151,14113,1781174201753260879,1781174201753260879,1781174201753309349,1781174201753309349,1781174201753274992,1781174201753274992,2,3,1,1.000000000000,1.000000000000,1.000000000000
152,14134,1781174201753384597,1781174201753384597,1781174201753418902,1781174201753418902,1781174201753398731,1781174201753398731,3,2,1,1.000000000000,1.000000000000,1.000000000000
153,13921,1781174201753508704,1781174201753508704,1781174201753541741,1781174201753541741,1781174201753522625,1781174201753522625,3,2,1,1.000000000000,1.000000000000,1.000000000000
