count_index,ts_swap,werner,success_bit
287,1789567786231028905,0.000000,0
288,1789567786231436759,0.000000,0
289,1789567786231844004,0.000000,0
290,1789567786232251179,0.931000,1
291,1789567786232658273,0.931000,1
292,1789567786233065138,0.931000,1
293,1789567786233472462,0.931000,1
294,1789567786233879227,0.931000,1
295,1789567786234286282,0.000000,0
296,1789567786234693256,0.000000,0
297,1789567786235100101,0.931000,1
298,1789567786235507195,0.931000,1
299,1789567786235914400,0.000000,0
300,1789567786236321684,0.000000,0
301,1789567786236728389,0.931000,1
302,1789567786237135504,0.000000,0
303,1789567786237542748,0.931000,1
304,1789567786237950763,0.000000,0
305,1789567786238358067,0.000000,0
306,1789567786238764702,0.931000,1
307,1789567786239171587,0.000000,0
308,1789567786239578781,0.000000,0
309,1789567786239985826,0.000000,0
310,1789567786240393190,0.000000,0
311,1789567786240801135,0.931000,1
312,1789567786241208560,0.931000,1
313,1789567786241616654,0.000000,0
314,1789567786242023559,0.931000,1
315,1789567786242430744,0.000000,0
316,1789567786242837638,0.931000,1
317,1789567786243244683,0.000000,0
318,1789567786243651207,0.931000,1
319,1789567786244057762,0.931000,1
320,1789567786244464677,0.000000,0
321,1789567786244871561,0.000000,0
322,1789567786245279326,0.931000,1
323,1789567786245685880,0.000000,0
324,1789567786246092455,0.000000,0
325,1789567786246499640,0.000000,0
326,1789567786246906334,0.000000,0
327,1789567786247313319,0.931000,1
328,1789567786247720374,0.000000,0
329,1789567786248126918,0.931000,1
330,1789567786248533793,0.000000,0
331,1789567786248940557,0.000000,0
332,1789567786249348362,0.000000,0
333,1789567786249754997,0.000000,0
334,1789567786250161741,0.931000,1
335,1789567786250569006,0.000000,0
336,1789567786250975960,0.931000,1
337,1789567786251382945,0.000000,0
338,1789567786251790040,0.000000,0
339,1789567786252196774,0.931000,1
340,1789567786252603679,0.931000,1
341,1789567786253010534,0.000000,0
342,1789567786253418178,0.931000,1
343,1789567786253824953,0.000000,0
344,1789567786254231977,0.931000,1
345,1789567786254639252,0.000000,0
346,1789567786255045947,0.000000,0
347,1789567786255453061,0.000000,0
348,1789567786255860046,0.000000,0
349,1789567786256267280,0.931000,1
350,1789567786256674335,0.931000,1
351,1789567786257081030,0.931000,1
352,1789567786257488484,0.931000,1
353,1789567786257895389,0.931000,1
354,1789567786258302344,0.931000,1
355,1789567786258710298,0.931000,1
356,1789567786259117253,0.000000,0
357,1789567786259524617,0.000000,0
358,1789567786259931442,0.931000,1
359,1789567786260338457,0.000000,0
360,1789567786260745501,0.000000,0
361,1789567786261152276,0.931000,1
362,1789567786261559670,0.000000,0
363,1789567786261966475,0.000000,0
364,1789567786262373719,0.931000,1
365,1789567786262780614,0.931000,1
366,1789567786263187519,0.000000,0
367,1789567786263594703,0.931000,1
368,1789567786264001338,0.000000,0
369,1789567786264408322,0.000000,0
370,1789567786264815257,0.000000,0
371,1789567786265226281,0.931000,1
372,1789567786265633166,0.000000,0
373,1789567786266040021,0.000000,0
374,1789567786266446895,0.931000,1
375,1789567786266853600,0.931000,1
376,1789567786267260714,0.000000,0
377,1789567786267667429,0.000000,0
378,1789567786268074104,0.931000,1
379,1789567786268481088,0.000000,0
380,1789567786268888163,0.931000,1
381,1789567786269300857,0.000000,0
382,1789567786269707662,0.000000,0
383,1789567786270114307,0.000000,0
384,1789567786270521511,0.931000,1
385,1789567786270928236,0.000000,0
386,1789567786271335251,0.000000,0
387,1789567786271742315,0.000000,0
388,1789567786272148990,0.000000,0
389,1789567786272556314,0.000000,0
390,1789567786272963199,0.000000,0
391,1789567786273370584,0.931000,1
392,1789567786273777268,0.931000,1
393,1789567786274184333,0.000000,0
394,1789567786274591297,0.931000,1
395,1789567786274998012,0.000000,0
396,1789567786275404947,0.000000,0
397,1789567786275811821,0.931000,1
398,1789567786276218566,0.931000,1
399,1789567786276625461,0.931000,1
400,1789567786277032265,0.931000,1
401,1789567786277441500,0.931000,1
402,1789567786277848704,0.000000,0
403,1789567786278255959,0.931000,1
404,1789567786278662644,0.000000,0
405,1789567786279069598,0.931000,1
406,1789567786279477593,0.000000,0
407,1789567786279884477,0.000000,0
408,1789567786280291322,0.931000,1
409,1789567786280698017,0.000000,0
410,1789567786281104971,0.000000,0
411,1789567786281512546,0.000000,0
412,1789567786281919551,0.931000,1
413,1789567786282326625,0.000000,0
414,1789567786282733890,0.000000,0
415,1789567786283140484,0.931000,1
416,1789567786283547379,0.000000,0
417,1789567786283954334,0.931000,1
418,1789567786284361298,0.000000,0
419,1789567786284767933,0.931000,1
420,1789567786285174667,0.000000,0
421,1789567786285582152,0.931000,1
422,1789567786285988797,0.000000,0
423,1789567786286395921,0.000000,0
424,1789567786286803146,0.000000,0
425,1789567786287210200,0.931000,1
426,1789567786287617475,0.931000,1
427,1789567786288024559,0.931000,1
428,1789567786288431664,0.000000,0
429,1789567786288838348,0.931000,1
430,1789567786289245833,0.931000,1
431,1789567786289652798,0.931000,1
432,1789567786290059632,0.000000,0
433,1789567786290466727,0.000000,0
434,1789567786290873642,0.931000,1
435,1789567786291280656,0.000000,0
436,1789567786291687271,0.000000,0
437,1789567786292094395,0.000000,0
438,1789567786292501480,0.000000,0
439,1789567786292908255,0.000000,0
440,1789567786293315659,0.000000,0
441,1789567786293722504,0.000000,0
442,1789567786294129288,0.931000,1
443,1789567786294536563,0.931000,1
444,1789567786294943308,0.931000,1
445,1789567786295350612,0.931000,1
446,1789567786295757357,0.931000,1
447,1789567786296164032,0.000000,0
448,1789567786296571066,0.931000,1
449,1789567786296977911,0.000000,0
450,1789567786297385315,0.000000,0
451,1789567786297792130,0.000000,0
452,1789567786298198865,0.931000,1
453,1789567786298606479,0.931000,1
454,1789567786299013254,0.000000,0
455,1789567786299420248,0.931000,1
456,1789567786299827263,0.000000,0
457,1789567786300234288,0.931000,1
458,1789567786300642712,0.000000,0
459,1789567786301049977,0.000000,0
460,1789567786301457522,0.931000,1
461,1789567786301864216,0.000000,0
462,1789567786302271091,0.000000,0
463,1789567786302677845,0.000000,0
464,1789567786303084590,0.000000,0
465,1789567786303491815,0.931000,1
466,1789567786303898559,0.931000,1
467,1789567786304305614,0.000000,0
468,1789567786304712278,0.931000,1
469,1789567786305119063,0.000000,0
470,1789567786305526708,0.931000,1
471,1789567786305933922,0.931000,1
472,1789567786306341187,0.931000,1
473,1789567786306747892,0.931000,1
474,1789567786307154656,0.931000,1
475,1789567786307561551,0.931000,1
476,1789567786307968745,0.931000,1
477,1789567786308375720,0.931000,1
478,1789567786308782365,0.000000,0
479,1789567786309188979,0.000000,0
480,1789567786309596314,0.931000,1
481,1789567786310003368,0.931000,1
482,1789567786310410493,0.000000,0
483,1789567786310817648,0.000000,0
484,1789567786311227922,0.000000,0
485,1789567786311634747,0.000000,0
486,1789567786312041391,0.000000,0
487,1789567786312448346,0.931000,1
488,1789567786312855061,0.000000,0
489,1789567786313262515,0.931000,1
490,1789567786313669350,0.931000,1
491,1789567786314076104,0.000000,0
492,1789567786314483359,0.931000,1
493,1789567786314890354,0.000000,0
494,1789567786315297498,0.000000,0
495,1789567786315704453,0.931000,1
496,1789567786316111187,0.931000,1
497,1789567786316518032,0.931000,1
498,1789567786316924656,0.000000,0
499,1789567786317331941,0.931000,1
500,1789567786317738876,0.000000,0
501,1789567786318145930,0.931000,1
502,1789567786318553125,0.931000,1
503,1789567786318960359,0.000000,0
504,1789567786319367204,0.931000,1
505,1789567786319773939,0.000000,0
506,1789567786320180703,0.000000,0
507,1789567786320587698,0.000000,0
508,1789567786320996182,0.931000,1
509,1789567786321403697,0.931000,1
510,1789567786321810362,0.931000,1
511,1789567786322216956,0.000000,0
512,1789567786322624121,0.000000,0
513,1789567786323030966,0.000000,0
514,1789567786323437860,0.000000,0
515,1789567786323844485,0.931000,1
516,1789567786324251489,0.931000,1
517,1789567786324658304,0.931000,1
518,1789567786325065019,0.931000,1
519,1789567786325472103,0.931000,1
520,1789567786325879108,0.931000,1
521,1789567786326286152,0.000000,0
522,1789567786326692937,0.931000,1
523,1789567786327099622,0.000000,0
524,1789567786327506906,0.000000,0
525,1789567786327913761,0.931000,1
526,1789567786328320776,0.000000,0
527,1789567786328727420,0.000000,0
528,1789567786329134125,0.931000,1
529,1789567786329541249,0.000000,0
530,1789567786329948444,0.931000,1
531,1789567786330355279,0.000000,0
532,1789567786330762013,0.000000,0
533,1789567786331168768,0.931000,1
534,1789567786331575922,0.000000,0
535,1789567786331982647,0.000000,0
536,1789567786332389752,0.000000,0
537,1789567786332799196,0.931000,1
538,1789567786333206381,0.000000,0
539,1789567786333613436,0.000000,0
540,1789567786334020170,0.000000,0
541,1789567786334427355,0.931000,1
542,1789567786334833969,0.931000,1
543,1789567786335240784,0.931000,1
544,1789567786335647659,0.931000,1
545,1789567786336054663,0.931000,1
546,1789567786336461788,0.931000,1
547,1789567786336868562,0.000000,0
548,1789567786337275787,0.000000,0
549,1789567786337682782,0.931000,1
550,1789567786338089806,0.000000,0
551,1789567786338496791,0.000000,0
552,1789567786338903546,0.000000,0
553,1789567786339310510,0.000000,0
554,1789567786339717295,0.931000,1
555,1789567786340123989,0.931000,1
556,1789567786340531234,0.000000,0
557,1789567786340938189,0.000000,0
558,1789567786341345603,0.931000,1
559,1789567786341754018,0.000000,0
560,1789567786342160712,0.000000,0
561,1789567786342567907,0.000000,0
562,1789567786342975081,0.000000,0
563,1789567786343382396,0.000000,0
564,1789567786343789381,0.000000,0
565,1789567786344196175,0.931000,1
566,1789567786344603850,0.931000,1
567,1789567786345010494,0.931000,1
568,1789567786345418599,0.000000,0
569,1789567786345825713,0.000000,0
570,1789567786346232808,0.931000,1
571,1789567786346639583,0.931000,1
572,1789567786347046207,0.000000,0
573,1789567786347453412,0.931000,1
574,1789567786347860087,0.000000,0
575,1789567786348266981,0.931000,1
576,1789567786348674166,0.000000,0
577,1789567786349080940,0.931000,1
578,1789567786349488415,0.931000,1
579,1789567786349895670,0.931000,1
580,1789567786350302464,0.000000,0
581,1789567786350709139,0.931000,1
582,1789567786351115813,0.931000,1
583,1789567786351522798,0.000000,0
584,1789567786351929403,0.931000,1
585,1789567786352336867,0.000000,0
586,1789567786352743582,0.000000,0
587,1789567786353150387,0.000000,0
588,1789567786353557941,0.000000,0
589,1789567786353964756,0.000000,0
590,1789567786354371770,0.931000,1
591,1789567786354778575,0.931000,1
592,1789567786355185270,0.931000,1
593,1789567786355592724,0.000000,0
594,1789567786355999379,0.931000,1
595,1789567786356406573,0.931000,1
596,1789567786356813308,0.931000,1
597,1789567786357224653,0.931000,1
598,1789567786357631857,0.000000,0
599,1789567786358038522,0.000000,0
600,1789567786358445496,0.931000,1
601,1789567786358852081,0.000000,0
602,1789567786359259166,0.000000,0
603,1789567786359665900,0.931000,1
604,1789567786360072705,0.931000,1
605,1789567786360479730,0.000000,0
606,1789567786360886264,0.000000,0
607,1789567786361294039,0.000000,0
608,1789567786361700673,0.931000,1
609,1789567786362107538,0.931000,1
610,1789567786362515973,0.931000,1
611,1789567786362923047,0.931000,1
612,1789567786363329952,0.931000,1
613,1789567786363736756,0.931000,1
614,1789567786364143461,0.931000,1
615,1789567786364550606,0.931000,1
616,1789567786364957760,0.931000,1
617,1789567786365365125,0.000000,0
618,1789567786365772000,0.931000,1
619,1789567786366179014,0.931000,1
620,1789567786366586159,0.931000,1
621,1789567786366992723,0.000000,0
622,1789567786367400128,0.931000,1
623,1789567786367807093,0.000000,0
624,1789567786368213887,0.000000,0
625,1789567786368621412,0.000000,0
626,1789567786369028616,0.000000,0
627,1789567786369435811,0.000000,0
628,1789567786369842406,0.000000,0
629,1789567786370249270,0.000000,0
630,1789567786370655865,0.931000,1
631,1789567786371062559,0.931000,1
632,1789567786371469394,0.000000,0
633,1789567786371876308,0.931000,1
634,1789567786372283343,0.931000,1
635,1789567786372690008,0.000000,0
636,1789567786373096642,0.931000,1
637,1789567786373503967,0.931000,1
638,1789567786373910601,0.931000,1
639,1789567786374317526,0.000000,0
640,1789567786374724371,0.000000,0
641,1789567786375131165,0.000000,0
642,1789567786375538040,0.931000,1
643,1789567786375944764,0.000000,0
644,1789567786376351529,0.000000,0
