round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
176,1789997582058287997,0.986424,0.997420,0.000000,0
177,1789997582058575377,0.987463,0.997540,0.985034,1
178,1789997582058933507,0.978164,0.994335,0.000000,0
179,1789997582059245220,0.996840,0.977861,0.000000,0
180,1789997582059515353,0.997109,0.984375,0.981530,1
181,1789997582059780615,0.983601,0.997139,0.980787,1
182,1789997582059966175,0.978695,0.996891,0.975652,1
183,1789997582060161053,0.984266,0.997301,0.981609,1
184,1789997582060353486,0.984830,0.997249,0.000000,0
185,1789997582060557839,0.944041,0.994927,0.939251,1
186,1789997582060737875,0.988018,0.997229,0.000000,0
187,1789997582060891755,0.987383,0.997357,0.984774,1
188,1789997582061080276,0.944642,0.995349,0.940249,1
189,1789997582061271837,0.986050,0.997534,0.983619,1
190,1789997582061439783,0.983143,0.997278,0.000000,0
191,1789997582061620300,0.997787,0.991289,0.989096,1
192,1789997582061814364,0.985480,0.997358,0.982877,1
193,1789997582062018287,0.997796,0.991035,0.988852,1
194,1789997582062228904,0.997377,0.990337,0.987740,1
195,1789997582062430573,0.989215,0.997403,0.986646,1
196,1789997582062625260,0.997507,0.990359,0.987890,1
197,1789997582062820191,0.997405,0.989705,0.000000,0
198,1789997582063017164,0.997508,0.990213,0.987746,1
199,1789997582063229906,0.989381,0.997356,0.986764,1
200,1789997582063421036,0.997684,0.990302,0.988008,1
201,1789997582063613550,0.997585,0.990010,0.000000,0
202,1789997582063812920,0.997313,0.990025,0.987365,1
203,1789997582064008227,0.989516,0.997302,0.000000,0
204,1789997582064198334,0.997494,0.990238,0.987757,1
205,1789997582064460108,0.990416,0.997469,0.000000,0
206,1789997582064679823,0.997505,0.988801,0.986334,1
207,1789997582064879176,0.997249,0.988743,0.986023,1
208,1789997582065068675,0.997428,0.989947,0.987401,1
209,1789997582065382313,0.987391,0.997422,0.984846,1
210,1789997582065918761,0.993957,0.975534,0.969639,1
211,1789997582066264839,0.980100,0.994237,0.974451,1
212,1789997582066661750,0.988695,0.997483,0.986207,1
213,1789997582066914883,0.997668,0.988700,0.986394,1
214,1789997582067134282,0.983153,0.996898,0.980103,1
215,1789997582067354525,0.997670,0.989198,0.986893,1
216,1789997582067590033,0.988620,0.997333,0.000000,0
217,1789997582067828031,0.997589,0.989652,0.000000,0
218,1789997582068067973,0.997370,0.988903,0.986303,1
219,1789997582068337598,0.933182,0.994710,0.000000,0
220,1789997582068543994,0.990971,0.997588,0.000000,0
221,1789997582068767280,0.997652,0.990483,0.000000,0
222,1789997582068985216,0.997271,0.990157,0.987454,1
223,1789997582069186686,0.997360,0.990304,0.000000,0
224,1789997582069392200,0.997705,0.987690,0.985423,1
225,1789997582069609619,0.989833,0.997476,0.987335,1
226,1789997582069809519,0.997560,0.990774,0.988356,1
227,1789997582070010135,0.997691,0.991062,0.988773,1
228,1789997582070209003,0.997445,0.990568,0.988037,1
229,1789997582070428287,0.997397,0.990407,0.000000,0
230,1789997582070635449,0.997558,0.990647,0.988228,1
231,1789997582070833280,0.989592,0.997550,0.000000,0
232,1789997582071034394,0.997569,0.991040,0.988631,1
233,1789997582071233499,0.989432,0.997439,0.986899,1
234,1789997582071431640,0.997606,0.990408,0.988037,1
235,1789997582071632058,0.989663,0.997492,0.000000,0
236,1789997582071813086,0.985199,0.997246,0.982485,1
237,1789997582072027171,0.997735,0.989861,0.000000,0
238,1789997582072399825,0.985367,0.997314,0.982720,1
239,1789997582072770255,0.997413,0.981185,0.978647,1
240,1789997582073170511,0.997446,0.987501,0.984979,1
241,1789997582073590703,0.978278,0.993986,0.972395,1
242,1789997582074009268,0.970052,0.996199,0.966365,1
243,1789997582074324725,0.993967,0.978312,0.000000,0
244,1789997582074650821,0.897426,0.985082,0.884038,1
245,1789997582074917823,0.978041,0.996718,0.974831,1
246,1789997582075114217,0.981744,0.997011,0.978810,1
247,1789997582075374414,0.981662,0.997187,0.000000,0
248,1789997582075599214,0.983901,0.997500,0.981441,1
249,1789997582075827176,0.997715,0.989107,0.986846,1
250,1789997582076058993,0.997544,0.988683,0.000000,0
251,1789997582076269440,0.997389,0.990491,0.987906,1
252,1789997582076487626,0.997427,0.990807,0.988257,1
253,1789997582076701584,0.997543,0.988829,0.986399,1
254,1789997582076927663,0.997458,0.989710,0.987195,1
255,1789997582077132011,0.997399,0.989047,0.000000,0
256,1789997582077335863,0.997672,0.990865,0.988558,1
257,1789997582077537656,0.997377,0.990487,0.000000,0
258,1789997582077731761,0.989651,0.997265,0.986944,1
259,1789997582077936095,0.997617,0.990442,0.988082,1
260,1789997582078132215,0.997284,0.989188,0.986501,1
261,1789997582078329918,0.997456,0.990540,0.988020,1
262,1789997582078528191,0.997500,0.990692,0.988215,1
263,1789997582078719416,0.997509,0.990867,0.988399,1
264,1789997582078912103,0.997434,0.990434,0.000000,0
265,1789997582079137298,0.970603,0.993459,0.964255,1
266,1789997582079471770,0.994154,0.979556,0.973830,1
267,1789997582079824301,0.992904,0.949408,0.942671,1
268,1789997582080019447,0.997540,0.988042,0.985612,1
269,1789997582080232356,0.997682,0.991111,0.988813,1
270,1789997582080471420,0.997147,0.984811,0.982001,1
271,1789997582080694539,0.997435,0.988711,0.986175,1
272,1789997582080893262,0.991578,0.997979,0.989574,1
273,1789997582081081629,0.990302,0.997344,0.987672,1
274,1789997582081274219,0.997574,0.991002,0.000000,0
275,1789997582081474482,0.989740,0.997282,0.987050,1
276,1789997582081666471,0.997612,0.991166,0.988799,1
277,1789997582081864572,0.997526,0.990425,0.987975,1
278,1789997582082058178,0.997639,0.990998,0.988658,1
279,1789997582082249423,0.997411,0.990762,0.988197,1
280,1789997582082454685,0.984535,0.997401,0.981976,1
281,1789997582082683216,0.997463,0.989016,0.986507,1
282,1789997582082886958,0.997732,0.990799,0.988551,1
283,1789997582083081821,0.997501,0.990787,0.988311,1
284,1789997582083274034,0.997536,0.991010,0.988568,1
285,1789997582083466281,0.997469,0.989917,0.000000,0
286,1789997582083665972,0.997535,0.990889,0.988446,1
287,1789997582083861799,0.997697,0.991043,0.988761,1
288,1789997582084064889,0.997413,0.990595,0.988032,1
289,1789997582084257148,0.997574,0.990925,0.000000,0
290,1789997582084457576,0.984671,0.997248,0.981961,1
291,1789997582084655581,0.997698,0.991152,0.988870,1
292,1789997582084856138,0.997605,0.990977,0.000000,0
293,1789997582085049122,0.988507,0.997462,0.985998,1
294,1789997582085244451,0.997386,0.990863,0.000000,0
295,1789997582085442110,0.989771,0.997420,0.000000,0
296,1789997582085630123,0.997583,0.991068,0.000000,0
297,1789997582085828253,0.997413,0.990480,0.987918,1
298,1789997582086120790,0.987663,0.894423,0.000000,0
299,1789997582086322563,0.997660,0.987995,0.985682,1
